Allium fistulosum;zimska čebula;
Allium flavum;rumeni luk;
Allium giganteum;orjaški luk;
Allium moly var. bulbilliferum;zlati luk;
Allium neapolitanum;neapeljski luk;
Allium obliquum;nesimetrični luk;
Allium ochroleucum;bledi luk;
Allium odorum;vonjavi luk;
Allium paradoxum;nenavadni luk;
Allium porrum;por;
Allium pyrenaicum;pirenejski luk;
Allium sativum;česen;
Allium saxatile;kamni luk;
Allium schoenoprasum subsp. alpinum;drobnjak;
Allium schoenoprasum subsp. schoenoprasum;drobnjak;
Allium senescens;gorski luk;
Allium senescens f. alba;gorski luk;
Allium sp.;luk;
Allium sphaerocephalon;oblasti luk;
Allium stipitatum;luk;
Allium suaveolens;dišeči luk;
Allium suworowi;luk;
Allium tuberosum;luk;
Allium ungulosum;robati luk;
Allium ursinum;čemaž;
Allium victorialis;vanež;
Alnus alnobetula;zelena jelša;
Alnus glutinosa;črna jelša;
Alnus incana;siva jelša;
Alnus japonica;japonska jelša;
Alocasia sp.;alokazija;
Alocasia x amazonica;alokazija - hibrid;
Aloe arborescens;drevesasta aloja;
Aloe aristata;resasta aloja;
Aloe brevifolia;kratkolistna aloja;
Aloe ferox;divja aloja;
Aloe humilis;brezstebelna aloja;
Aloe saponaria;milnata aloja;
Aloe sp.;aloja;
Aloe striatula;žlebasta aloja;
Aloe variegata;pisana aloja;
Aloe vera;prava aloja;
Aloe zebrina;aloja;
Alonsoa acutifolia;ostrolistna alonsoa;
Alopecurus sp.;lisičji rep;
Alpinia speciosa;lepa alinija;
Alstromeria auranthiaca;Inkovska lilija;
Alternanthera amoena 'Sessilis';cejlonsko zelišče;
Althaea armeniaca;armenijski rožlin;
Althaea hirsuta;srhkodlakavi slez;
Althaea officinalis;navadni slez;
Althaea taurinensis;torinski rožlin;
Alyssum alyssoides;navadni grobeljnik;
Alyssum corymbosum;kobulasti grobeljnik;
Alyssum idaeum;kretski grobeljnik;
Alyssum moellendorfianum;srebrnolistni grobelnik;
Alyssum montanum;gorski grobeljnik;
Alyssum montanum subsp. pluscanescens;žički grobeljnik;
Alyssum montanum subsp. pluscanescens;žički grobeljnik;
Alyssum montanum subsp. pluscanescens;žički grobeljnik;
Alyssum ovirense;obirski grobeljnik;
Alyssum ovirense;obirski grobeljnik;
Alyssum petraeum;kamni grobeljnik;
Alyssum samolifolium;grobeljnik;
Alyssum sinuatum;valovitolistni grobeljnik;
Amaranthus aureus;zlati ščir;
Amaranthus blitoides;razprostrti ščir;
Amaranthus bouchonii;ščir;
Amaranthus caudatus;repati ščir;
Amaranthus caudatus var. albiflorus;beli repati ščir;
Amaranthus caudatus var. rubra;rdeči repati ščir;
Amaranthus cruentus f. aureus;zlati latasti ščir;
Amaranthus deflexus;polegli ščir;
Amaranthus gangeticus 'Green Elefant Head';ščir;
