Centaurea cyanus;Aciano;Aldiza
Inula helenium;Helenio;Enula
Helianthemum nummularium;Heliántemo;
Hepatica nobilis;Hepática;
Parnassia palustris;Hepática blanca;
Glechoma hederacea;Hiedra terrestre;
Veronica hederifolia;Hiedrezuela terrestre;Hierba gallinera
Spergularia salina;Hierba de la golondrina;
Hypericum maculatum;Hierba de San Juan;
Persicaria lapathifolia;Hierba de Santa María;
Senecio jacobaea;Hierba de Santiago;Azuzón,hierba cana,sacapeos,suzón
Mentha x verticillata;Hierbabuena;
Gypsophila muralis;Ilusión;Ilusión de novia,nube
Saponaria officinalis;Jabonera;
Silene latifolia;Jabonera blanca;
Arctium minus;Lampazo menor;
Lathraea squamaria;Latrea escamosa;
Euphorbia helioscopia;Lecherula;
Euphorbia peplus;Lechetrezna;Lechecina,lechera,lecheriega
Euphorbia palustris;Lechetrezna palustre;
Euphorbia exigua;Lechetrezna romeral;
Mycelis muralis;Lechuga de los muros;
Sonchus asper;Lechuguilla espinosa;Cerraja
Picris hieracioides;Lengua de gato;
Cynoglossum officinale;Lengua de perro;
Rumex crispus;Lengua de vaca;
Nymphaea tetragona;Lirio pigmeo;
Listera ovata;Listera ovada;
Plantago major;Llantén mayor;Llantén común
Plantago lanceolata;Llantén menor;
Lotus corniculatus;Loto de los prados;Cuernecillo
Lupinus polyphyllus;Lupino;Altramuz
Lupinus angustifolius;Lupino azul;Altramuz azul,altramuz silvestre,lupino de hojas angostas
Malva sylvestris;Malva;Malva común,malva mayor
Malva moschata;Malva moscada;
Alcea rosea;Malva real;
Anthemis arvensis;Manzanilla de los campos;Manzanilla bastarda
Leucanthemum vulgare;Margarita mayor;Margaritón
Cardamine amara;Mastuerzo amargo;Mastuerzo mayor
Cardaria draba;Mastuerzo bárbaro;Mastuerzo oriental
Cardamine hirsuta;Mastuerzo menor;
Tripleurospermum maritimum;Matricaria marítima;
Melilotus officinalis;Meliloto;Meliloto oficinal
Mentha aquatica;Menta acuática;Hierbabuena de agua,menta de agua
Nepeta cataria;Menta de gato;Nébeda,albahaca de gatos
Mentha x gracilis;Menta de jengibre;
Mentha arvensis;Menta japonesa;
Mimulus guttatus;Mímulo;Flor mono
Myosotis sylvatica;Miosotis;
Myrrhis odorata;Mirra;
Sisymbrium altissimum;Mostacilla alta;Nabo chileno
Sinapis alba;Mostaza blanca;
Brassica nigra;Mostaza negra;
Lepidium campestre;Mostaza salvaje;
Sinapis arvensis;Mostaza silvestre;Mostaza de campo
Agrostemma githago;Neguilla;Candelaria
Anemone nemorosa;Nemorosa;Anémona de los bosques,amapola silvestre,ranúnculo blanco
Nymphaea alba;Nenúfar blanco europeo;
Myosotis stricta;Nomeolvides;
Myosotis scorpioides;Nomeolvides acuático;
Myosotis laxa;Nomeolvides de cañaverales;
Myosotis ramosissima;Nomeolvides temprano;
Bryonia alba;Nuez blanca;Alferisa,brionia blanca,nuédago,nuerza,túcar
Oenothera biennis;Onagra común;Prímula
Veronica serpyllifolia;Ontineta;
Lathyrus niger;Orobo;Guisante negro
Lathyrus vernus;Orobo vernal;
Cephalanthera longifolia;Orquídea cefalantera longifolia;
Orchis mascula;Orquídea macho;
Dactylorhiza maculata;Orquídea moteada de los pantanos;
Neottia nidus-avis;Orquídea nido de pájaro;Orquídea nido de pájaro
Corallorhiza trifida;Orquídea raíz de coral;Raíz de coral
Dactylorhiza viride;Orquídea rana;
Dactylorhiza sambucina;Orquídea sáuco;
Orchis militaris;Orquídea soldado;
Lamium hybridum;Ortiga híbrida;
Lamium amplexicaule;Ortiga mansa;Zapatitos
Lamium confertum;Ortiga muerta;
Lamiastrum galeobdolon;Ortiga muerta amarilla;
Lamium purpureum;Ortiga roja;Ortiga muerta
Cakile maritima;Oruga de mar;
Linaria repens;Pajarita pálida;
Cerastium alpinum;Pamplinillas de roca;Pamplinillas de los borreguiles
Pedicularis palustris;Pedicularia palustre;
Pilosella Pilosellina;Pelosilla;
Viola tricolor;Pensamiento salvaje;
Aethusa cynapium;Pequeña cicuta;
Chaerophyllum bulbosum;Perifollo bulboso;Perifollo tuberoso
Persicaria amphibia;Persicaria anfibia;
Persicaria vivipara;Persicaria vivípara;
Phyllodoce caerulea;Pico de mina;
Anagallis arvensis;Pimpinela escarlata;Pimpinela rosada,muraj,anagallis,anagálide
Sanguisorba officinalis;Pimpinela mayor;
Pimpinella major;Pimpinela negra;
Stratiotes aloides;Pita acuática;
Polygala amarella;Polígala amarga;
Potentilla argentea;Potentilla argentina;
Primula veris;Prímula;
Pulmonaria obscura;Pulmonaria oscura;
Pulsatilla patens;Pulsatilla;
Pulsatilla pratensis;Pulsatilla menor;
Ranunculus peltatus;Ranúnculo;
Ranunculus aquatilis;Ranúnculo acuático;Hierba lagunera,cancel de las ninfas,milenrama acuática
Ranunculus glacialis;Ranúnculo glacial;
Asperugo procumbens;Raspilla;
Ranunculus reptans;Retama;
Drosera anglica;Rocío del sol de hoja larga;
Bidens radiata;Romerillo;
Rhodiola rosea;Rosa polar;
Thalictrum alpinum;Ruda alpina;
Thalictrum aquilegiifolium;Ruda de los prados;
Petasites japonicus ssp. giganteus;Ruibarbo de ciénaga;Fuki,petasite gigante
Lythrum salicaria;Salicaria;
Tragopogon pratensis;Salsifí de prado;Barba de cabra
Salvia pratensis;Salvia de los prados;Gallocresta
Sanicula europaea;Sanícula;
Platanthera bifolia;Satirión blanco de dos hojas;
Platanthera chlorantha;Satirión verde;
Saxifraga aizoides;Saxífraga amarilla;
Senecio vulgaris;Senecio común;
Silene acaulis;Silene musgo;
Fritillaria meleagris;Tablero de damas;Cabeza de serpiente
Scorzonera humilis;Teta de vaca;
Solanum nigrum;Tomatillo del diablo;Hierba mora,hierba negra,tabaco cimarrón,tabaco del diablo,tomatillo.
Thymus pulegioides;Tomillo de hojas anchas;Té fino
Potentilla erecta;Tormentilla;
Trifolium montanum;Trébol;
Trifolium arvense;Trébol;
Trifolium dubium;Trébol amarillo;
Trifolium repens;Trébol blanco;Trébol amargo
Trifolium incarnatum;Trébol encarnado;Trébol italiano
Trifolium pratense;Trébol rojo;
Goodyera repens;Trenza de dama;Trenzas de damas
Veronica officinalis;Triaca;Verónica
Melampyrum arvense;Trigo vacuno;
Sedum album;Uva cana;
Solidago canadensis;Vara de oro de Canadá;
Solidago gigantea;Vara de oro gigante;
Veronica beccabunga;Verónica acuática;
Veronica alpina;Veronica alpina;
Veronica agrestis;Verónica de campo;
Veronica fruticans;Verónica de las rocas;
Veronica spicata;Verónica espigada;
Veronica chamaedrys;Verónica menor de prados;
Vicia sativa;Veza;Garrobilla,janamargo,arvejilla
Echium vulgare;Viborera;
Viola biflora;Violeta de dos flores;
Viola palustris;Violeta de pantano;
Viola canina;Violeta de perro;Violeta perruna
Viola epipsila;Violeta enana del pantano;
Anthyllis vulneraria;Vulneraria;Dedos de dama
Daucus carota;Zanahoria;
Cypripedium calceolus;Zueco de dama;
