Cirsium arvense;Cirsium arvense;190560
Cirsium oleraceum;Cirsium oleraceum;190676
Cirsium palustre;Cirsium palustre;190512
Cirsium vulgare;Cirsium vulgare;190489
Clematis alpina;Clematis alpina;190137
Clematis vitalba;Clematis vitalba;190400
Clinopodium acinos;Clinopodium acinos;190563
Clinopodium vulgare;Clinopodium vulgare;190657
Colchicum autumnale;Colchicum autumnale;190607
Comarum palustre;Comarum palustre;190529
Conium maculatum;Conium maculatum;189800
Consolida regalis;Consolida regalis;190531
Convallaria majalis;Convallaria majalis;190324
Convolvulus arvensis;Convolvulus arvensis;189814
Conyza canadensis;Conyza canadensis;189832
Cornus mas;Cornus mas;189936
Cornus sanguinea;Cornus sanguinea;190340
Corydalis cava;Corydalis cava;189834
Corydalis solida;Corydalis solida;189979
Cotoneaster integerrimus;Cotoneaster integerrimus;190048
Crataegus germanica;Crataegus germanica;190343
Crataegus laevigata;Crataegus laevigata;190348
Crataegus monogyna;Crataegus monogyna;190349
Crepis biennis;Crepis biennis;190276
Crepis capillaris;Crepis capillaris;190431
Crepis paludosa;Crepis paludosa;190275
Crocus vernus;Crocus vernus;189867
Cruciata laevipes;Cruciata laevipes;189996
Cuscuta epithymum;Cuscuta epithymum;190661
Cypripedium calceolus;Cypripedium calceolus;190188
Cytisus nigricans;Cytisus nigricans;190481
Cytisus scoparius;Cytisus scoparius;190212
Dactylorhiza incarnata;Dactylorhiza incarnata;190170
Dactylorhiza maculata;Dactylorhiza maculata;190514
Dactylorhiza purpurella;Dactylorhiza purpurella;190171
Daphne cneorum;Daphne cneorum;190042
Daphne mezereum;Daphne mezereum;189927
Daphne striata;Daphne striata;190166
Datura stramonium;Datura stramonium;189808
Daucus carota;Daucus carota;189711
Descurainia sophia;Descurainia sophia;190298
Dianthus carthusianorum;Dianthus carthusianorum;190501
Dianthus deltoides;Dianthus deltoides;190500
Dianthus gratianopolitanus;Dianthus gratianopolitanus;190180
Dianthus seguieri;Dianthus seguieri;190502
Dianthus superbus;Dianthus superbus;190499
Dictamnus albus;Dictamnus albus;190184
Digitalis grandiflora;Digitalis grandiflora;190456
Digitalis lutea;Digitalis lutea;190465
Digitalis purpurea;Digitalis purpurea;190524
Diplotaxis muralis;Diplotaxis muralis;190403
Diplotaxis tenuifolia;Diplotaxis tenuifolia;190288
Dipsacus fullonum;Dipsacus fullonum;190617
Draba aizoides;Draba aizoides;190022
Drosera anglica;Drosera anglica;190393
Drosera rotundifolia;Drosera rotundifolia;190705
Echium vulgare;Echium vulgare;190412
Elodea canadensis;Elodea canadensis;190311
Empetrum nigrum;Empetrum nigrum;190165
Epilobium hirsutum;Epilobium hirsutum;190646
Epilobium montanum;Epilobium montanum;190505
Epilobium parviflorum;Epilobium parviflorum;190647
Epilobium roseum;Epilobium roseum;190645
Epipactis helleborine;Epipactis helleborine;190575
Epipactis palustris;Epipactis palustris;190399
Erica tetralix;Erica tetralix;190162
Erigeron acris;Erigeron acris;190507
Erodium cicutarium;Erodium cicutarium;190032
Erophila verna;Erophila verna;189744
Eryngium campestre;Eryngium campestre;189797
Eryngium maritimum;Eryngium maritimum;190550
Erysimum cheiranthoides;Erysimum cheiranthoides;190239
Euonymus europaeus;Euonymus europaeus;190079
Eupatorium cannabinum;Eupatorium cannabinum;190632
Euphorbia cyparissias;Euphorbia cyparissias;189994
Euphorbia dulcis;Euphorbia dulcis;190103
Euphorbia exigua;Euphorbia exigua;189993
Euphorbia helioscopia;Euphorbia helioscopia;189991
Euphorbia palustris;Euphorbia palustris;190235
Euphorbia peplus;Euphorbia peplus;190407
Euphorbia verrucosa;Euphorbia verrucosa;190721
Euphrasia rostkoviana;Euphrasia rostkoviana;189837
Euphrasia stricta;Euphrasia stricta;189836
Ficaria verna;Ficaria verna;189942
Filago minima;Filago minima;190452
Filipendula ulmaria;Filipendula ulmaria;189857
Filipendula vulgaris;Filipendula vulgaris;189881
Forsythia suspensa;Forsythia suspensa;190221
Fragaria moschata;Fragaria moschata;190332
Fragaria vesca;Fragaria vesca;189977
Fragaria viridis;Fragaria viridis;189768
Frangula alnus;Frangula alnus;190351
Fritillaria meleagris;Fritillaria meleagris;190710
Fumaria officinalis;Fumaria officinalis;190202
Gagea lutea;Gagea lutea;189944
Gagea pratensis;Gagea pratensis;189947
Gagea villosa;Gagea villosa;189950
Galanthus nivalis;Galanthus nivalis;189738
Galeopsis tetrahit;Galeopsis tetrahit;190655
Galinsoga parviflora;Galinsoga parviflora;189830
Galinsoga quadriradiata;Galinsoga quadriradiata;189829
Galium aparine;Galium aparine;189760
Galium mollugo;Galium mollugo;189759
Galium odoratum;Galium odoratum;189972
Galium palustre;Galium palustre;189761
Galium verum;Galium verum;190408
Genista germanica;Genista germanica;190213
Genista pilosa;Genista pilosa;190030
Genista sagittalis;Genista sagittalis;190215
Genista tinctoria;Genista tinctoria;190214
Gentiana asclepiadea;Gentiana asclepiadea;190621
Gentiana lutea;Gentiana lutea;190447
Gentiana pneumonanthe;Gentiana pneumonanthe;190618
Gentiana verna;Gentiana verna;189923
Gentianopsis ciliata;Gentianopsis ciliata;190624
Geranium dissectum;Geranium dissectum;190206
Geranium molle;Geranium molle;190197
Geranium palustre;Geranium palustre;190538
Geranium phaeum;Geranium phaeum;190723
Geranium pratense;Geranium pratense;190549
Geranium robertianum;Geranium robertianum;190484
Geranium sanguineum;Geranium sanguineum;190521
Geranium sylvaticum;Geranium sylvaticum;190510
Geum rivale;Geum rivale;190040
Geum urbanum;Geum urbanum;190259
Glechoma hederacea;Glechoma hederacea;189903
Globularia vulgaris;Globularia vulgaris;190146
Gnaphalium sylvaticum;Gnaphalium sylvaticum;189879
Gratiola officinalis;Gratiola officinalis;190397
Gymnadenia conopsea;Gymnadenia conopsea;190168
Gypsophila muralis;Gypsophila muralis;190642
Hedera helix;Hedera helix;190588
Helianthemum nummularium;Helianthemum nummularium;190280
Helleborus foetidus;Helleborus foetidus;189900
Helleborus niger;Helleborus niger;189961
Helleborus viridis;Helleborus viridis;189901
Heracleum mantegazzianum;Heracleum mantegazzianum;190713
Heracleum sphondylium;Heracleum sphondylium;189803
Herniaria glabra;Herniaria glabra;190597
Hesperis matronalis;Hesperis matronalis;190716
Hieracium murorum;Hieracium murorum;190257
Hippocrepis comosa;Hippocrepis comosa;190271
Hippophae rhamnoides;Hippophae rhamnoides;189957
Hippuris vulgaris;Hippuris vulgaris;190086
Holosteum umbellatum;Holosteum umbellatum;189773
Humulus lupulus;Humulus lupulus;190593
Hydrocharis morsus-ranae;Hydrocharis morsus-ranae;190313
Hydrocotyle vulgaris;Hydrocotyle vulgaris;190640
Hylotelephium telephium;Hylotelephium telephium;190649
Hyoscyamus niger;Hyoscyamus niger;190418
Hypericum calycinum;Hypericum calycinum;190749
Hypericum hirsutum;Hypericum hirsutum;190462
Hypericum humifusum;Hypericum humifusum;190410
Hypericum maculatum;Hypericum maculatum;190446
Hypericum montanum;Hypericum montanum;190001
Hypericum perforatum;Hypericum perforatum;190258
Hypericum pulchrum;Hypericum pulchrum;190691
Hypericum tetrapterum;Hypericum tetrapterum;190681
Ilex aquifolium;Ilex aquifolium;190339
Impatiens glandulifera;Impatiens glandulifera;190631
Impatiens noli-tangere;Impatiens noli-tangere;190020
Impatiens parviflora;Impatiens parviflora;190005
Inula salicina;Inula salicina;190680
Iris pseudacorus;Iris pseudacorus;190227
Iris sibirica;Iris sibirica;190114
Isatis tinctoria;Isatis tinctoria;190300
Jacobaea erucifolia;Jacobaea erucifolia;190686
Jasione montana;Jasione montana;190552
Knautia arvensis;Knautia arvensis;190127
Knautia dipsacifolia;Knautia dipsacifolia;190565
Laburnum anagyroides;Laburnum anagyroides;190217
Lactuca serriola;Lactuca serriola;190700
Lamium album;Lamium album;189731
Lamium amplexicaule;Lamium amplexicaule;189934
Lamium galeobdolon;Lamium galeobdolon;190019
Lamium maculatum;Lamium maculatum;189928
Lamium purpureum;Lamium purpureum;189933
Lapsana communis;Lapsana communis;190430
Lathraea squamaria;Lathraea squamaria;189932
Lathyrus aphaca;Lathyrus aphaca;190283
Lathyrus linifolius;Lathyrus linifolius;190038
Lathyrus pratensis;Lathyrus pratensis;190454
Lathyrus sylvestris;Lathyrus sylvestris;190653
Lathyrus tuberosus;Lathyrus tuberosus;190490
Lathyrus vernus;Lathyrus vernus;190041
Lavandula angustifolia;Lavandula angustifolia;189733
Lemna gibba;Lemna gibba;190090
Lemna minor;Lemna minor;190089
Lemna trisulca;Lemna trisulca;190088
Leontodon hispidus;Leontodon hispidus;190450
Lepidium campestre;Lepidium campestre;189749
Lepidium draba;Lepidium draba;189751
Leucanthemum vulgare;Leucanthemum vulgare;189727
Leucojum aestivum;Leucojum aestivum;189741
Leucojum vernum;Leucojum vernum;189739
Ligustrum vulgare;Ligustrum vulgare;190402
Lilium martagon;Lilium martagon;190523
Linaria vulgaris;Linaria vulgaris;190439
Linum catharticum;Linum catharticum;189855
Lonicera periclymenum;Lonicera periclymenum;190365
