Abies alba,abete bianco
Cupressus sempervirens,cipresso comune
Cuscuta cesatiana,cuscuta di cesati
Cuscuta epilinum,cuscuta strozzalino
Cuscuta epithymum,cuscuta epitimo
Cuscuta europaea,cuscuta europea
Cuscuta planiflora,cuscuta a fiore bianco
Cuscuta tinei,cuscuta di tineo
Cutandia maritima,logliarello delle spiagge
Cyclamen hederifolium,ciclamino napoletano
Cyclamen purpurascens,ciclamino delle alpi
Cyclamen repandum,ciclamino primaverile
Cymbalaria muralis,ciombolino comune
Cymbopogon hirtus,barboncino mediterraneo
Cymodocea nodosa,cimodocea
Cynara cardunculus,carciofo
Cynodon dactylon,gramigna rampicante
Cynoglossum cheirifolium,lingua di cane giallastra
Cynoglossum creticum,lingua di cane a fiori variegati
Cynoglossum montanum,lingua di cane montana
Cynoglossum officinale,lingua di cane vellutina
Cynosurus cristatus,covetta dei prati
Cynosurus echinatus,covetta comune
Cynosurus elegans,covetta leggera
Cyperus difformis,zigolo delle risaie
Cyperus esculentus,zigolo dolce
Cyperus flavescens,zigolo dorato
Cyperus fuscus,zigolo nero
Cyperus glaber,zigolo glabro
Cyperus glomeratus,zigolo ferrugineo
Cyperus kalli,zigolo delle spiagge
Cyperus laevigatus,zigolo levigato
Cyperus longus,zigolo comune
Cyperus michelianus,zigolo del micheli
Cyperus rotundus,zigolo infestante
Cyperus serotinus,zigolo tardivo
Cystopteris fragilis,felcetta fragile
Cystopteris montana,felcetta montana
Cytinus hypocistis,ipocisto comune
Cytisus scoparius,citiso scopario
Cytisus sessilifolius,citiso a foglie sessili
Cytisus villosus,citiso trifloro
Dactylis glomerata,erba mazzolina comune
Dactylis hispanica,erba mazzolina meridionale
Dactylis polygama,erba mazzolina di ascherson
Damasonium alisma,mestolaccia stellata
Danthonia alpina,danthonia maggiore
Danthonia decumbens,danthonia minore
Daphne alpina,dafne alpina
Daphne cneorum,dafne odorosa
Daphne gnidium,dafne gnidio
Daphne laureola,dafne laurella
Daphne mezereum,dafne mezereo
Daphne oleoides,dafne spatolata
Dasypirum villosum,grano villoso
Datura stramonium,stramonio comune
Daucus broteri,carota di brotero
Daucus carota,carota selvatica
Daucus gingidium,carota delle scogliere
Daucus guttatus,carota bicolore
Daucus muricatus,carota capobianco
Delphinium fissum,speronella lacerata
Delphinium halteratum,speronella comune
Delphinium staphisagria,speronella stafisagra
Deschampsia caespitosa,migliarino maggiore
Descurainia sophia,erba sofia
Dianthus armeria,garofano a mazzetti
Dianthus balbisii,garofano di balbis
Dianthus barbatus,garofano montano
Dianthus carthusianorum,garofano dei certosini
Dianthus cartusianorum,garofano dei certosini
Dianthus caryophyllus,garofano
Dianthus deltoides,garofano minore
Dianthus monspessulanus,garofano di bosco
Dianthus seguieri,garofano di seguier
Dianthus superbus,garofano a pennacchio
Dianthus sylvestris,garofano selvatico
Dictamnus albus,dittamo albo
Digitalis ferruginea,digitale bruna
Digitalis grandiflora,digitale gialla grande
Digitalis lutea,digitale gialla piccola
Digitalis micrantha,digitale appenninica
Digitaria ciliaris,sanguinella ciliata
Digitaria ischaemum,sanguinella sottile
Digitaria sanguinalis,sanguinella comune
Diospyros lotus,albero di s.andrea
Diphasium alpinum,licopodio alpino
Diphasium tristachyum,licopodio cipressino
Diplotaxis erucoides,ruchetta violacea
Diplotaxis muralis,ruchetta dei muri
Diplotaxis tenuifolia,ruchetta selvatica
Diplotaxis viminea,ruchetta minore
Dipsacus fullonum,scardaccione selvatico
Doronicum austriacum,doronico austriaco
Doronicum columnae,doronico di colonna
Doronicum grandiflorum,doronico dei macereti
Doronicum pardalianches,doronico medicinale
Dorycnium hirsutum,trifoglino irsuto
Dorycnium pentaphyllum,trifoglino legnoso
Dorycnium rectum,trifoglino palustre
Draba aizoides,draba aizoide
Draba aspera,draba di bertoloni
Draba dubia,draba dubbia
Draba muralis,draba murale
Dracunculus vulgaris,dragontea
Drosera intermedia,drosera intermedia
Drosera rotundifolia,drosera a foglie rotonde
Dryas octopetala,camedrio alpino
Dryopteris affinis,felce pelosa
Dryopteris carthusiana,felce certosina
Dryopteris filix-mas,felce maschio
Dryopteris villarii,felce di villars
Duchesnea indica,fragola matta
Ecballium elaterium,cocomero asinino
Echinaria capitata,echinaria
Echinochloa colonum,giavone meridionale
Echinochloa crus-galli,giavone comune
Echinophora spinosa,finocchio litorale spinoso
Echinops ritro,cardo-pallottola coccodrillo
Echinops siculus,cardo pallottola meridionale
Echinops sphaerocephalus,cardo-pallottola maggiore
Echium italicum,viperina maggiore siciliana
Echium parviflorum,viperina parviflora
Echium plantagineum,viperina piantagginea
Echium vulgare,viperina azzurra
Edraianthus graminifolius,campanula graminifolia
Elaeoselinum asclepium,eleoselino
Elatine alsinastrum,pepe d’acqua maggiore
Elatine hexandra,pepe d’acqua a 6 stami
Eleocharis acicularis,giunchina aghiforme
Eleocharis multicaulis,giunchina cespugliosa
Eleocharis palustris,giunchina comune
Eleocharis quinqueflora,giunchina a 5 fiori
Eleocharis uniglumis,giunchina con 1 blattea
Eleusine indica,gramigna indiana
Elodea canadensis,peste d’acqua comune
Elyna myosuroides,elina
Ephedra major,efedra nebrodense
Epilobium alsinifolium,garofanino basilichino
Epilobium anagallidifolium,garofanino alpino
Epilobium angustifolium,garofanino maggiore
Epilobium collinum,garofanino di collina
Epilobium dodonaei,garofanino di dodonaeus
Epilobium hirsutum,garofanino d’acqua
Epilobium lanceolatum,garofanino lanceolato
Epilobium montanum,garofanino di montagna
Epilobium obscurum,garofanino scuro
Epilobium palustre,garofanino turgoncello
Epilobium parviflorum,garofanino minore
Epilobium roseum,garofanino roseo
Epilobium tetragonum,garofanino quadrelletto
Epimedium alpinum,epimedio alpino
Epipactis atropurpurea,elleborine violacea
Epipactis helleborine,elleborine comune
Epipactis microphylla,elleborine minore
Epipactis palustris,elleborine palustre
Epipogium aphyllum,epipogio
Equisetum arvense,equiseto dei campi
Equisetum fluviatile,equiseto fluviatileo
Equisetum hyemale,equiseto invernale
Equisetum palustre,equiseto palustre
Equisetum ramosissimum,equiseto ramosissimo
Equisetum telmateja,equiseto massimo
Eragrostis megastachya,panicella maggiore
Eragrostis minor,panicella minore
Eragrostis pilosa,panicella pelosa
Eranthis hyemalis,pie’ di gallo
Erianthus ravennae,canna del po
Erica arborea,erica arborea
Erica carnea,erica carnicina
Erica multiflora,erica multiflora
Erica scoparia,erica da scope
Erigeron acer,c�spica acre
Erigeron alpinus,c�spica alpina
Erigeron annuus,c�spica annua
Erigeron karvinskianus,c�spica karvinskiana
Erigeron polymorphus,c�spica polimorfa
Erigeron uniflorus,c�spica uniflora
Erinus alpinus,erinus
Eriophorum angustifolium,pennacchi a fg strette
Eriophorum latifoliun,pennacchi a fg larghe
Eriophorum scheuchzeri,pennacchi di scheuchzer
Erodium acaule,becco di gr� a rosetta
Erodium alnifolium,becco di gr� con foglie d’ontano
Erodium botrys,becco di gr� botri
Erodium chium,becco di gr� di chio
Erodium ciconium,becco di gr� maggiore
Erodium cicutarium,becco di gr� comune
Erodium laciniatum,becco di gr� laciniato
Erodium Malacoides,becco di gru malvaceo
Erodium moschatum,becco di gr� aromatico
Erophila verna,draba primaverile
Eruca sativa,rucola comune
Eryngium amethystinum,calcatreppola ametistina
Eryngium barrelieri,calcatreppola di barrelier
Eryngium campestre,calcatreppola campestre
Eryngium maritimum,calcatreppola marittima
Erysimum cheiri,violaciocca gialla
Erythronium dens-canis,dente di cane
Eucalyptus globulus,eucalipto
Euonymus europaeus,fusaria comune
Euonymus latifolius,fusaria maggiore
Euonymus verrucosus,fusaria rugosa
Eupatorium cannabinum,canapa acquatica
Euphorbia amygdaloides,euforbia delle faggete
Euphorbia chamaesyce,euforbia fico per terra
Euphorbia characias,euforbia cespugliosa
Euphorbia cuneifolia,euforbia con foglie a cuneo
Euphorbia cyparissias,euforbia cipressina
Euphorbia dendroides,euforbia arborescente
Euphorbia dulcis,euforbia bitorzoluta
Euphorbia esula,euforbia acre
Euphorbia exigua,euforbia sottile
Euphorbia falcata,euforbia falcata
Euphorbia flavicoma,euforbia verrucosa
Euphorbia helioscopia,euforbia calenzuola
Euphorbia humifusa,euphorbia atterrata
Euphorbia lathyris,euforbia catapuzia
Euphorbia maculata,euphorbia macchiata
Euphorbia myrsinites,euforbia mirsinite
Euphorbia nicaeensis,euforbia di nizza
Euphorbia nutans,euforbia delle ferrovie
Euphorbia palustris,euforbia lattaiola
Euphorbia paralias,euforbia marittima
Euphorbia peplis,euforbia delle spiagge
Euphorbia peplus,euforbia minore
Euphorbia pinea,euforbia delle scogliere
Euphorbia platyphyllos,euforbia rognosa
Euphorbia pubescens,euforbia pubescente
Euphorbia seguierana,euforbia di seguier
Euphorbia serrulata,euforbia stretta
Euphorbia spinosa,euforbia spinosa
Euphorbia terracina,euforbia di terracina
Euphrasia kerneri,eufrasia di kerner
Euphrasia minima,eufrasia minima
Euphrasia rostkoviana,eufrasia officinale
Euphrasia salisburgensis,eufrasia di salisburgo
Euphrasia stricta,eufrasia stretta
Evax asterisciflora,evax maggiore
Evax pygmaea,evax comune
Fagopyrum esculentum,grano saraceno comune
Fagus sylvatica,faggio comune
Fallopia aubertii,poligono del turkestan
Fallopia convolvulus,poligono convolvolo
Fallopia dumetorum,poligono delle siepi
Fedia cornucopiae,lattughella
Ferula communis,ferula comune
Ferulago campestris,ferula finocchiazzo
Festuca alpina,festuca delle dolomiti
Festuca altissima,festuca dei boschi
Festuca arundinacea,festuca falascona
Festuca circummediterranea,festuca mediterranea
Festuca curvula,festuca incurvata
Festuca cyrnea,festuca di corsica
Festuca dimorpha,festuca appenninica
Festuca drymeia,festuca dei querceti
Festuca fenas,festuca alofila
Festuca gigantea,festuca maggiore
Festuca guestfalica,festuca di westfalia
Festuca heterophylla,festuca dei boschi
Festuca macrathera,festuca a resta lunga
Festuca nigrescens,festuca dei nardeti
Festuca paniculata,festuca pannocchiuta
Festuca pratensis,festuca dei prati
Festuca robustifolia,festuca a foglie robuste
Festuca rubra,festuca rossa
Festuca tenuifolia,festuca a fg. capillari
Festuca vizzavonae,festuca di vizzavona
Fibigia clypeata,fibigia comune
Ficus carica,fico comune
Filago eriocephala,bambagia meridionale
Filago germanica,bambagia comune
Filago pyramidata,bambagia spatolata
Filipendula ulmaria,olmaria comune
Filipendula vulgaris,olmaria peperina
Fimbristylis dichotoma,zigolo dicotomo
Foeniculum vulgare,finocchio selvaggio
Forsythia viridissima,forsizia
Fragaria ananassa,fragola-ananas
Fragaria moschata,fragola moscata
Fragaria vesca,fragola comune
Fragaria viridis,fragola verde
Frangula alnus,frangola comune
Frankenia laevis,erba-franca legnosa
Frankenia pulverulenta,erba-franca annua
Fraxinus excelsior,frassino comune
Fraxinus ornus,frassino da manna
Fraxinus oxycarpa,frassino meridionale
Fritillaria tenella,meleagride minore
Fumana ericoides,fumana mediterranea
Fumana laevipes,fumana capillare
Fumana procumbens,fumana comune
Fumana thymifolia,fumana vischiosa
Fumaria agraria,fumaria agraria
Fumaria bastardii,fumaria di bastard
Fumaria capreolata,fumaria bianca
Fumaria densiflora,fumaria densiflora
Fumaria flabellata,fumaria a ventaglio
Fumaria officinalis,fumaria comune
Fumaria parviflora,fumaria a fiori piccoli
Fumaria vaillantii,fumaria di vaillant
Gagea fistulosa,cipollaccio fistoloso
Gagea lutea,cipollaccio stellato
Gagea pratensis,cipollaccio dei prati
Gagea villosa,cipollaccio dei campi
Galactites tomentosa,scarlina
Galanthus nivalis,bucaneve
Galega officinalis,capraggine
Galeopsis angustifolia,canapetta a foglie strette
Galeopsis ladanum,canapetta violacea
Galeopsis pubescens,canapetta pubescente
Galeopsis speciosa,canapetta screziata
Galeopsis tetrahit,canapetta comune
Galinsoga parviflora,galinsoga comune
Galium album,caglio bianco
Galium anisophyllum,caglio alpino
Galium aparine,caglio asprello
Galium corrudifolium,caglio mediterraneo
Galium debile,caglio debole
Galium divaricatum,caglio divaricato
Galium elongatum,caglio tardivo
Galium glaucum,caglio glauco
Galium laevigatum,caglio levigato
Galium lucidum,caglio lucido
Galium murale,caglio murale
Galium odoratum,caglio odoroso
Galium palustre,caglio delle paludi
Galium parisiense,callio sottile
Galium rotundifolium,caglio a foglie rotonde
Galium rubrum,caglio arrossato
Galium spurium,caglio campestre
Galium sylvaticum,caglio dei boschi
Galium tricornutum,caglio coriandolino
Galium verrucosum,caglio verrucoso
Galium verum,caglio zolfino
Gastridium ventricosum,codino maggiore
Gaudinia fragilis,forasacchino
Genista germanica,ginestra spinosa
Genista januensis,ginestra genovesi
Genista pilosa,ginestra tubercolosa
Genista radiata,ginestra stellata
Genista tinctoria,ginestra minore
Gentiana asclepiadea,genziana asclepiade
Gentiana ciliata,genziana sfrangiata
Gentiana clusii,genziana di clusius
Gentiana cruciata,genziana minore
Gentiana kochiana,genziana di koch
Gentiana lutea,genziana maggiore
Gentiana nivalis,genziana nivale
Gentiana orbicularis,genziana di favrat
Gentiana pneumonanthe,genziana mettimborsa
Gentiana utriculosa,genziana alata
Gentiana verna,genziana primaticcia
Gentianella anisodonta,genzianella delle dolomiti
Gentianella campestris,genzianella campestre
Geranium columbinum,geranio colombino
Geranium dissectum,geranio sbrandellato
Geranium lanuginosum,geranio lanuginoso
Geranium lucidum,geranio lucido
Geranium macrorrhizum,geranio crestato
Geranium molle,geranio volgare
Geranium nodosum,geranio nodoso
Geranium phaeum,geranio stellato
Geranium pratense,geranio dei prati
Geranium purpureum,geranio purpureo
Geranium pusillum,geranio minore
Geranium pyrenaicum,geranio dei pirenei
Geranium robertianum,geranio di s.roberto
Geranium rotundifolium,geranio malvaccino
Geranium sanguineum,geranio sanguigno
Geranium sylvaticum,geranio silvano
Geranium tuberosum,geranio tuberoso
Geranium versicolor,geranio striato
Geropogon glaber,barba di becco annua
Geum molle,cariofillata villosa
Geum montanum,cariofillata montana
Geum rivale,cariofillata dei rivi
Geum urbanum,cariofillata comune
Gladiolus byzantinus,gladiolo bizantino
Gladiolus communis,gladiolo maggiore
Gladiolus dubius,gladiolo meridionale
Gladiolus italicus,gladiolo dei campi
Gladiolus palustris,gladiolo reticolato
Glaucium flavum,papavero cornuto
Glechoma hederacea,ellera terrestre comune
Glechoma hirsuta,ellera terrestre pelosa
Gleditsia triacanthos,spino di giuda
Globularia cordifolia,vedovelle celesti
Globularia meridionalis,vedovelle appenniniche
Globularia nudicaulis,vedovelle alpine
Globularia punctata,vedovelle dei prati
Glyceria fluitans,gramignone natante
Glyceria maxima,gramignone maggiore
Glyceria plicata,gramignone minore
Glycyrrhiza glabra,liquirizia comune
Gnaphalium diminutum,canapicchia dell’appennino
Gnaphalium luteo-album,canapicchia pagliata
Gnaphalium supinum,canapicchia glaciale
Gnaphalium sylvaticum,canapicchia comune
Gnaphalium undulatum,canapicchia ondulata
Grafia golaka,grafia
Gratiola officinalis,graziella
Groenlandia densa,brasca a foglie opposte
Guizotia abyssinica,guizotia
Gymnadenia conopsea,manina rosea
Gymnadenia odoratissima,manina profumata
Gymnocarpium dryopteris,felce delle querce
Gymnocarpium robertianum,felce del calcare
Gypsophila muralis,gipsofila minuta
Gypsophila repens,gipsofila strisciante
Hainaldoticum sardoum,denti di cane
Hainardia cylindrica,logliarella cilindrica
Halimione portulacoides,atriplice portulacoide
Halimium halimifolium,cisto giallo
Hedera helix,edera
Hedypnois cretica,radicchio tubuloso
Hedypnois rhagadioloides,radicchio pallottolino
Hedysarum coronarium,sulla comune
Hedysarum glomeratum,sulla annuale
Helianthemum apenninum,eliantemo degli appennini
Helianthemum canum,eliantemo candido
Helianthemum nummularium,eliantemo maggiore
Helianthemum oelandicum,eliantemo rupino
Helianthemum salicifolium,eliantemo annuale
Helianthus annuus,girasole comune
Helianthus tuberosus,girasole del canad�
Helichrysum italicum,perpetuini d’italia
Heliotropium europaeum,eliotropio selvatico
Heliotropium supinum,eliotropio peloso
Helleborus bocconei,elleboro di boccone
Helleborus foetidus,elleboro puzzolente
Helleborus niger,elleboro bianco
Helleborus odorus,elleboro profumato
Hemerocallis fulva,giglio di s. giuseppe
Hepatica nobilis,erba trinit�
Heracleum pyrenaicum,panace dei macereti
Heracleum sphondylium,panace comune
Herminium monorchis,orchide ad un bulbo
Hermodactylus tuberosus,bellavedova
Herniaria glabra,erniaria glabra
Herniaria hirsuta,erniaria irsuta
Hesperis laciniata,violaciocca laciniata
Hesperis matronalis,violaciocca antoniana
Hibiscus syriacus,ibisco cinese
Hibiscus trionum,ibisco vescicoso
Hieracium amplexicaule,sparviere a foglie abbraccianti
Hieracium auricula,sparviere orecchia di topo
Hieracium bifidum,sparviere inciso
Hieracium boreale,sparviere di savoia
Hieracium bupleuroides,sparviere con foglie di odontite
Hieracium caesium,sparviere inciso
Hieracium crinitum,sparviere racemoso
Hieracium cymosum,sparviere corimboso
Hieracium florentinum,sparviere fiorentino
Hieracium glaucinum,sparviere dei boschi
Hieracium glaucum,sparviere glauco
Hieracium hoppeanum,sparviere di hoppe
Hieracium humile,sparviere lacerato
Hieracium incisum,sparviere inciso
Hieracium lachenalii,sparviere comune
Hieracium laevigatum,sparviere allungato
Hieracium morisianum,sparviere di moris
Hieracium obscurum,sparviere fiorentino
Hieracium pallidum,sparviere a foglie setolose
Hieracium pilosella,sparviere pelosetto
Hieracium piloselloides,sparviere fiorentino
Hieracium praealtum,sparviere fiorentino
Hieracium prenanthoides,sparviere a foglie di prenanthes
Hieracium pseudopilosella,sparviere tirrenico
Hieracium pulmonarioides,sparviere a foglie abbraccianti
Hieracium racemosum,sparviere racemoso
Hieracium sabaudum,sparviere di savoia
Hieracium staticifolium,sparviere con foglie d’armeria
Hieracium sylvaticum,sparviere dei boschi
Hieracium tenuiflorum,sparviere dei boschi
Hieracium umbellatum,sparviere ad ombrella
Hieracium villosum,sparviere del calcare
Hieracium virgaurea,sparviere verga d’oro
Hieracium x,sparviere fiorentino
Hippocrepis ciliata,sferracavallo cigliato
Hippocrepis comosa,sferracavallo comune
Hippocrepis glauca,sferracavallo glauco
Hippocrepis unisiliquosa,sferracavallo minore
Hippuris vulgaris,coda di cavallo acquatica
Hirschfeldia incana,senape canuta
Holcus lanatus,bambagione pubescente
Holcus mollis,bambagione aristato
Holoschoenus australis,giunchetto meridionale
Holoschoenus romanus,giunchetto minore
Holoschoenus vulgaris,giunchetto comune
Holosteum umbellatum,garofolino
Homogyne alpina,tossilaggine alpina
Hordelymus caput-medusae,orzo testa di medusa
Hordelymus europaeus,orzo dei boschi
Hordeum bulbosum,orzo bulboso
Hordeum leporinum,orzo mediterraneo
Hordeum maritimum,orzo marittimo
Hordeum murinum,orzo selvatico
Hordeum secalinum,orzo perenne
Hordeum vulgare,orzo coltivato
Horminum pyrenaicum,ormino
Hornungia petraea,iberidella rupina
Hottonia palustris,fetro
Humulus lupulus,luppolo comune
Huperzia selago,licopodio abietino
Hutchinsia alpina,iberidella alpina
Hyacinthus orientalis,giacinto comune
Hydrocharis morsus-ranae,morso di rana
Hydrocotyle vulgaris,soldinella acquatica
Hymenocarpus circinnatus,cornicina
Hymenolobus pauciflorus,iberidella minore
Hymenolobus procumbens,iberidella maggiore
Hyosciamus albus,giusquiamo bianco
Hyoscyamus niger,giusquiamo nero
Hyoseris radiata,radicchio selvatico
Hyoseris scabra,radicchio ruvido
Hypecoum procumbens,cornacchina comune
Hypericum androsaemum,erba di s.giovanni arbustiva
Hypericum australe,erba di s.giovanni meridionale
Hypericum hircinum,erba di s.giovanni caprina
Hypericum hirsutum,erba di s.giovanni irsuta
Hypericum humifusum,erba di s.giovanni prostrata
Hypericum montanum,erba di s.giovanni montana
Hypericum perfoliatum,erba di s.giovanni a foglie cordate
Hypericum perforatum,erba di s.giovanni comune
Hypericum richeri,erba di s.giovanni belleval
Hypericum tetrapterum,erba di s. giovanni alata
Hypochoeris achyrophorus,costolina annuale
Hypochoeris cretensis,costolina cretese
Hypochoeris glabra,costolina liscia
Hypochoeris maculata,costolina macchiata
Hypochoeris radicata,costolina giuncolina
Hyssopus officinalis,issopo
Iberis pruitii,iberide di pruiti
Iberis sempervirens,iberide sempreverde
Iberis umbellata,iberide rossa
Ilex aquifolium,agrifoglio
Illecebrum verticillatum,corrigiola verticillata
Impatiens balsamina,balsamina coltivata
Impatiens noli-tangere,balsamina gialla
Inula britannica,enula laurentiana
Inula conyza,enula baccherina
Inula crithmoides,enula bacicci
Inula ensifolia,enula assottigliata
Inula graveolens,enula cespita
Inula helenium,enula campana
Inula hirta,enula scabra
Inula montana,enula montana
Inula salicina,enula aspra
Inula spiraeifolia,enula uncinata
Inula viscosa,enula cepittoni
Ipomoea purpurea,campanella turchina
Iris florentina,giaggiolo bianco
Iris foetidissima,giaggiolo puzzolente
Iris germanica,giaggiolo paonazzo
Iris graminea,giaggiolo susinario
Iris pseudacorus,giaggiolo acquatico
Iris sisyrinchium,giaggiolo dei poveretti
Isatis tinctoria,glasto comune
Isoetes durieui,calamaria di durieu
Isolepis cernua,lisca delle pozze
Isolepis setacea,lisca setacea
Isopyrum thalictroides,isopiro comune
Jasione montana,vedovella annuale
Jasminum officinale,gelsomino comune
Juncus acutiflorus,giunco a fiori acuti
Juncus acutus,giunco pungente
Juncus alpino-articulatus,giunco alpino
Juncus articulatus,giunco nodoso
Juncus bufonius,giunco annuale
Juncus bulbosus,giunco bulboso
Juncus capitatus,giunco a capolino
Juncus compressus,giunco compresso
Juncus conglomeratus,giunco contratto
Juncus effusus,giunco comune
Juncus filiformis,giunco filiforme
Juncus fontanesii,giunco di desfontaine
Juncus gerardi,giunco di gerard
Juncus hybridus,giunco ibrido
Juncus inflexus,giunco tenace
Juncus jacquinii,giunco di jacquin
Juncus litoralis,giunco di tommasini
Juncus maritimus,giunco marittimo
Juncus monanthos,giunco delle dolomiti
Juncus striatus,giunco striato
Juncus subnodulosus,giunco subnodoso
Juncus subulatus,giunco foglioso
Juncus tenageja,giunco delle pozze
Juncus trifidus,giunco delle creste
Juniperus communis,ginepro comune
Juniperus nana,ginepro nano
Juniperus oxycedrus,ginepro ossicedro
Juniperus phoenicea,ginepro fenicio
Juniperus sabina,ginepro sabino
Jurinea mollis,cardo del carso
Kernera saxatilis,coclearia delle rupi
Kickxia commutata,cencio perennante
Kickxia elatine,cencio minore
Kickxia spuria,cencio molle
Knautia arvensis,ambretta comune
Knautia calycina,ambretta siciliana
Knautia drymeia,ambretta dei querceti
Knautia integrifolia,ambretta annuale
Knautia purpurea,ambretta purpurea
Kochia scoparia,granata comune
Koeleria macrantha,pal�o steppico
Koeleria splendens,pal�o meridionale
Kundmannia sicula,kundmannia
Laburnum alpinum,maggiociondolo di montagna
Laburnum anagyroides,maggiociondolo comune
Lactuca perennis,lattuga rupestre
Lactuca saligna,lattuga salcigna
Lactuca sativa,lattuga coltivata
Lactuca serriola,lattuga selvatica
Lactuca viminea,lattuga alata
Lactuca virosa,lattuga velenosa
Lagurus ovatus,piumino
Lamarckia aurea,lamarckia
Lamium album,falsa-ortica bianca
Lamium amplexicaule,falsa-ortica reniforme
Lamium bifidum,falsa ortica bifida
Lamium flexuosum,falsa-ortica flessuosa
Lamium galeobdolon,ortica mora
Lamium garganicum,falsa-ortica meridionale
Lamium maculatum,falsa-ortica macchiata
Lamium purpureum,falsa ortica purpurea
Lappula squarrosa,lappolina comune
Lapsana communis,lassana
Laserpitium gallicum,laserpizio odoroso
Laserpitium garganicum,laserpizio del meridione
Laserpitium latifolium,laserpizio erba-nocitola
Laserpitium prutenicum,laserpizio pimpinellino
Laserpitium siler,laserpizio sermontano
Lathyrus angulatus,cicerchia angolosa
Lathyrus annuus,cicerchia pallida
Lathyrus aphaca,cicerchia bastarda
Lathyrus cicera,cicerchia cicerchiella
Lathyrus clymenum,cicerchia porporina
Lathyrus hirsutus,cicerchia pelosa
Lathyrus inconspicuus,cicerchia a fiore piccolo
Lathyrus latifolius,cicerchia a foglie larghe
Lathyrus montanus,cicerchia montana
Lathyrus niger,cicerchia nera
Lathyrus nissolia,cicerchia semplice
Lathyrus occidentalis,cicerchia gialla
Lathyrus ochrus,cicerchia pisellina
Lathyrus palustris,cicerchia palustre
Lathyrus pratensis,cicerchia dei prati
Lathyrus sativus,cicerchia comune
Lathyrus setifolius,cicerchia capillare
Lathyrus sphaericus,cicerchia sferica
Lathyrus sylvestris,cicerchia silvestre
Lathyrus tuberosus,cicerchia tuberosa
Lathyrus venetus,cicerchia veneta
Lathyrus vernus,cicerchia primaticcia
Laurentia gasparrinii,laurenzia di gasparrini
Laurus nobilis,alloro
Lavandula angustifolia,lavanda vera
Lavandula stoechas,lavanda selvatica
Lavatera cretica,malvone di creta
Lavatera olbia,malvone perenne
Lavatera punctata,malvone punteggiato
Leersia oryzoides,riso selvatico
Legousia falcata,specchio di venere minore
Legousia hybrida,specchio di venere ondulato
Legousia speculum-veneris,specchio di venere comune
Lembotropis nigricans,citiso scuro
Lemna gibba,lenticchia d’acqua spugnosa
Lemna minor,lenticchia d’acqua comune
Lemna trisulca,lenticchia d’acqua spatolata
Lens culinaris,lenticchia comune
Lens ervoides,lenticchia minore
Lens nigricans,lenticchia selvatica
Leontodon autumnalis,dente di leone ramoso
Leontodon cichoraceus,dente di leone meridionale
Leontodon crispus,dente di leone crespo
Leontodon helveticus,dente di leone dei graniti
Leontodon hispidus,dente di leone comune
Leontodon leysseri,dente di leone di leysser
Leontodon montanus,dente di leone montano
Leontodon tuberosus,dente di leone tuberoso
Leontodon villarsii,dente di leone di villars
Leonurus cardiaca,cardiaca comune
Leopoldia comosa,giacinto dal pennacchio
Lepidium campestre,lepidio campestre
Lepidium graminifolium,lepidio graminifoglio
Lepidium latifolium,lepidio latifoglio
Lepidium ruderale,lepidio de’calcinacci
Lepidium sativum,lepidio ortense
Lepidium virginicum,lepidio della virginia
Leucanthemopsis minima,margherita minima
Leucanthemum adustum,margherita west-alpina
Leucanthemum ceratophylloides,margherita laciniata
Leucanthemum heterophyllum,margherita sudalpina
Leucanthemum pallens,margherita pallida
Leucanthemum praecox,margherita diploide
Leucanthemum vulgare,margherita tetraploide
Leucojum aestivum,campanelle maggiori
Leucojum vernum,campanelle comuni
Leucorchis albida,orchide candida
Ligustrum vulgare,ligustro
Lilium bulbiferum,giglio rosso
Lilium martagon,giglio martagone
Limodorum abortivum,fior di legna
Limonium bellidifolium,limonio del caspio
Limonium serotinum,limonio comune
Limonium virgatum,limonio virgato
Linaria alpina,linajola alpina
Linaria arvensis,linajola campestre
Linaria chalepensis,linajola di aleppo
Linaria pelisseriana,linajola di pellicier
Linaria purpurea,linajola purpurea
Linaria simplex,linajola piccola
Linaria triphylla,linajola trifogliata
Linaria vulgaris,linajola comune
Linum alpinum,lino celeste
Linum bienne,lino selvatico
Linum capitatum,lino capitato
Linum catharticum,lino purgativo
Linum maritimum,lino marittimo
Linum narbonense,lino lesinino
Linum strictum,lino minore
Linum tenuifolium,lino montano
Linum tryginum,lino spinato
Linum usitatissimum,lino coltivato
Linum viscosum,lino malvino
Lippia nodiflora,erba luigia minore
Listera cordata,listera minore
Listera ovata,listara maggiore
Lithospermum officinale,erba-perla maggiore
Lobularia maritima,filigrana comune
Lolium multiflorum,loglio maggiore
Lolium perenne,loglio comune
Lolium remotum,loglio del lino
Lolium rigidum,loglio rigido
Lolium temulentum,loglio ubriacante
Lonicera alpigena,madreselva alpina
Lonicera caprifolium,caprifoglio comune
Lonicera etrusca,caprifoglio etrusco
Lonicera implexa,caprifoglio mediterraneo
Lonicera nigra,caprifoglio nero
Lonicera xylosteum,caprifoglio peloso
Lophochloa cristata,pal�o cristato
Lophochloa hispida,pal�o ispido
Lophochloa pubescens,pal�o pubescente
Loranthus europaeus,vischio quercino
Loroglossum hircinum,barbone
Lotus angustissimus,ginestrino sottile
Lotus commutatus,ginestrino delle spiagge
Lotus conimbricensis,ginestrino di coimbra
