Abies alba,abete bianco
Anthemis triumfetti,camomilla di trionfetti
Anthericum liliago,lilioasfodelo maggiore
Anthericum ramosum,lilioasfodelo minore
Anthoxanthum alpinum,paleo delle alpi
Anthoxanthum odoratum,paleo odoroso
Anthriscus caucalis,cerfoglio lappola
Anthriscus cerefolium,cerfoglio comune
Anthriscus nemorosa,cerfoglio meridionale
Anthriscus sylvestris,cerfoglio selvatico
Anthyllis barba-jovis,vulneraria barba di giove
Anthyllis montana,vulneraria montana
Anthyllis tetraphylla,vulneraria annuale
Anthyllis vulneraria,vulneraria comune
Antirrhinum majus,bocca di leone comune
Apera interrupta,cappellini sottili
Apera spica-venti,cappellini dei campi
Aphanes arvensis,ventaglina dei campi
Apium graveolens,sedano comune
Apium nodiflorum,sedano d’acqua
Aquilegia atrata,aquilegia scura
Aquilegia vulgaris,aquilegia comune
Arabidopsis thaliana,arabetta comune
Arabis alpina,arabetta alpina
Arabis auriculata,arabetta orecchiuta
Arabis brassica,arabetta glauca
Arabis ciliata,arabetta cigliata
Arabis collina,arabetta collinare
Arabis glabra,arabetta glabrescente
Arabis hirsuta,arabetta irsuta
Arabis pseudoturritis,arabetta maggiore
Arabis pumila,arabetta minore
Arabis sagittata,arabetta saettata
Arabis turrita,arabetta maggiore
Arabis verna,arabetta primaverile
Arbutus unedo,corbezzolo
Arctium lappa,bardana maggiore
Arctium minus,bardana minore
Arctium nemorosum,bardana selvatica
Arctium tomentosum,bardana lanuta
Arctostaphylos uva-ursi,uva ursina
Aremonia agrimonoides,agrimonia delle faggete
Arenaria bertolonii,arenaria di bertoloni
Arenaria grandiflora,arenaria grandiflora
Arenaria leptoclados,arenaria a rami brevi
Arenaria serpyllifolia,arenaria serpillifolia
Argyranthemum frutescens,margherita delle canarie
Argyrolobium zanonii,citiso argenteo
Arisarum proboscideum,arisaro codato
Arisarum vulgare,arisaro comune
Aristolochia clematitis,aristolochia clematite
Aristolochia longa,aristolochia lunga
Aristolochia pallida,aristolochia pallida
Aristolochia rotunda,aristolochia rotonda
Armeria alpina,spillone alpino
Armeria canescens,spillone biancastro
Armeria majellensis,spillone della majella
Armoracia rusticana,cren
Arrhenatherum elatius,avena altissima
Artemisia absinthium,assenzio vero
Artemisia alba,assenzio maschio
Artemisia annua,assenzio annuale
Artemisia arborescens,assenzio arbustivo
Artemisia campestris,assenzio di campo
Artemisia coerulescens,assenzio litorale
Artemisia verlotorum,artemisa dei fratelli verlot
Artemisia vulgaris,assenzio selvatico
Arthrocnemum fruticosum,salicornia fruticosa
Arthrocnemum glaucum,salicornia glauca
Arum italicum,gigaro chiaro
Arum maculatum,gigaro scuro
Aruncus dioicus,barba di capra
Arundo donax,canna domestica
Arundo pliniana,canna del reno
Asarum europaeum,baccaro comune
Asparagus acutifolius,asparago pungente
Asparagus maritimus,asparago amaro
Asparagus officinalis,asparago comune
Asparagus tenuifolius,asparago selvatico
Asperugo procumbens,buglossa dentata
Asperula aristata,stellina a tubo allungato
Asperula arvensis,stellina dei campi
Asperula cynanchica,stellina comune
Asperula laevigata,stellina esile
Asperula purpurea,stellina purpurea
Asperula taurina,stellina cruciata
Asphodeline lutea,asfodelo giallo
Asphodelus albus,asfodelo montano
Asphodelus cerasifer,asfodelo maggiore
Asphodelus fistulosus,asfodelo fistoloso
Asphodelus microcarpus,asfodelo mediterraneo
Asplenium adiantum-nigrum,asplenio adianto nero
Asplenium billotii,asplenio lanceolato
Asplenium fissum,asplenio diviso
Asplenium lepidum,asplenio grazioso
Asplenium obovatum,asplenio obovato
Asplenium onopteris,asplenio maggiore
Asplenium ruta-muraria,asplenio ruta di muro
Asplenium septentrionale,asplenio settentrionale
Asplenium trichomanes,asplenio tricomane
Asplenium viride,asplenio verde
Asplenium x,asplenio germanico
Aster alpinus,astro alpino
Aster amellus,astro di virgilio
Aster bellidiastrum,astro falsa pratolina
Aster linosyris,astro spillo d’oro
Aster novi-belgii,astro americano
Aster squamatus,astro autunnale
Aster tripolium,astro marino
Asteriscus aquaticus,asterisco acquatico
Asterolinon linum-stellatum,lino-stellato
Astragalus australis,astragalo meridionale
Astragalus cicer,astragalo cece selvatico
Astragalus depressus,astragalo depresso
Astragalus glycyphyllos,astragalo falsa-liquerizia
Astragalus hamosus,astragalo falciforme
Astragalus monspessulanus,astragalo rosato
Astragalus onobrychis,astragalo falsa-lupinella
Astragalus purpureus,astragalo di gremli
Astragalus sempervirens,astragalo spinoso
Astragalus sesameus,astragalo minore
Astragalus sirinicus,astragalo del m. sirino
Astrantia major,astranzia maggiore
Athyrium distentifolium,felce alpestre
Athyrium filix-foemina,felce femmina
Atractylis gummifera,masticogna laticifera
Atriplex halimus,atriplice alimo
Atriplex hortensis,atriplice degli orti
Atriplex latifolia,atriplice comune
Atriplex patula,erba corregiola
Atriplex rosea,atriplice rosea
Atriplex tatarica,atriplice tatarica
Atropa belladonna,belladonna
Avellinia michelii,avellinia
Avena barbata,avena barbata
Avena byzanthina,avena bizantina
Avena fatua,avena selvatica
Avena sativa,avena comune
Avena sterilis,avena maggiore
Avenella flexuosa,migliarino capellino
Avenula praetutiana,avena abruzzese
Avenula pubescens,avena pubescente
Avenula versicolor,avena bronzea
Baldellia ranunculoides,mestolaccia ranunculoide
Ballota nigra,cimiciotta comune
Ballota pseudodictamnus,cimiciotta greca
Barbarea bracteosa,erba di s.barbara bratteata
Barbarea verna,erba di s.barbara vernale
Barbarea vulgaris,erba di s.barbara comune
Barlia robertiana,barlia
Bellardia trixago,perlina minore
Bellevalia romana,giacinto romano
Bellis annua,pratolina annuale
Bellis perennis,pratolina comune
Bellis sylvestris,pratolina autunnale
Berberis vulgaris,crespino comune
Berteroa incana,berteroa comune
Berula erecta,sedanina d’acqua
Beta vulgaris,bietola comune
Betula pendula,betulla verrucosa
Betula pubescens,betulla pubescente
Biarum tenuifolium,gigaro a foglie sottili
Bidens bipinnata,forbicina bipennata
Bidens cernua,forbicina intera
Bidens frondosa,forbicina peduncolata
Bidens tripartita,forbicina comune
Bifora radians,coriandolo puzzolente
Bifora testiculata,coriandolo selvatico
Biscutella cichoriifolia,biscutella maggiore
Biscutella didyma,biscutella annuale
Biscutella laevigata,biscutella montanina
Biscutella lyrata,biscutella lirata
Biscutella nicaeensis,biscutella nizzarda
Biserrula pelecinus,biserrula
Blackstonia perfoliata,centauro giallo
Blechnum spicant,lonchite minore
Blysmus compressus,lisca minore
Bolboschoenus maritimus,lisca marittima
Borago officinalis,borragine comune
Bothriochloa ischaemum,barboncino digitato
Botrychium lunaria,botrichio
Brachypodium distachyum,pal�o annuale
Brachypodium phoenicoides,pal�o dei campi abbandonati
Brachypodium pinnatum,Paleo comune
Brachypodium ramosum,pal�o delle garighe
Brachypodium rupestre,pal�o rupestre
Brachypodium sylvaticum,pal�o silvestre
Brassica fruticulosa,cavolo rapiciolla
Brassica incana,cavolo biancastro
Brassica napus,cavolo navone
Brassica nigra,cavolo senape-nera
Brassica rapa,cavolo rapa
Briza maxima,sonaglini maggiori
Briza media,sonaglini comuni
Briza minor,sonaglini minori
Bromus arvensis,forasacco dei campi
Bromus benekenii,forasacco di beneken
Bromus commutatus,forasacco allungato
Bromus erectus,forasacco eretto
Bromus fasciculatus,forasacco insulare
Bromus gussonei,forasacco di gussone
Bromus hordeaceus,forasacco peloso
Bromus inermis,forasacco spuntato
Bromus intermedius,forasacco intermedio
Bromus japonicus,forasacco patente
Bromus lanceolatus,forasacco lanceolato
Bromus molliformis,forasacco mediterraneo
Bromus racemosus,forasacco palustre
Bromus ramosus,forasacco maggiore
Bromus rigidus,forasacco massimo
Bromus rubens,forasacco purpureo
Bromus secalinus,forasacco delle messi
Bromus squarrosus,forasacco pendolino
Bromus sterilis,forasacco rosso
Bromus tectorum,forasacco dei tetti
Bromus transsylvanicus,forasacco della transilvania
Broussonetia papyrifera,gelso da carta
Bryonia dioica,brionia comune
Buglossoides arvensis,erba-perla minore
Buglossoides gasparrinii,erba-perla di gasparrini
Buglossoides purpurocaerulea,erba-perla azzurra
Bunias erucago,cascellore comune
Bunium bulbocastanum,bulbocastano comune
Buphtalmum salicifolium,asteroide salicina
Bupleurum baldense,bupleuro odontile
Bupleurum falcatum,bupleuro falcato
Bupleurum gerardi,bupleuro di gerard
Bupleurum lancifolium,bupleuro granaiolo
Bupleurum praealtum,bupleuro lino-selvatico
Bupleurum ranunculoides,bupleuro ranunculoide
Bupleurum rotundifolium,bupleuro perfogliato
Bupleurum semicompositum,bupleuro alofilo
Bupleurum tenuissimum,bupleuro grappoloso
Butomus umbellatus,giunco fiorito
Buxus sempervirens,bosso comune
Cachrys ferulacea,basilisco comune
Cakile maritima,ravastrello marittimo
Calamagrostis arundinacea,cannella dei boschi
Calamagrostis epigejos,cannella delle paludi
Calamagrostis pseudophragmites,cannella spondicola
Calamagrostis varia,cannella comune
Calamintha grandiflora,mentuccia montana
Calamintha nepeta,mentuccia comune
Calamintha sylvatica,mentuccia maggiore
Calendula arvensis,fiorrancio selvatico
Calendula officinalis,fiorrancio coltivato
Calepina irregularis,miagro rostellato
Calicotome spinosa,sparzio spinoso
Calicotome villosa,sparzio villoso
Callitriche brutia,gamberaja calabrese
Callitriche palustris,gamberaja comune
Callitriche stagnalis,gamberaja maggiore
Calluna vulgaris,brughiera
Caltha palustris,calta palustre
Calystegia sepium,vilucchio bianco
Calystegia soldanella,vilucchio marittimo
Calystegia sylvatica,vilucchio maggiore
Camelina microcarpa,dorella minore
Camelina sativa,dorella coltivata
Campanula bononiensis,campanula bolognese
Campanula cervicaria,campanula ruvida
Campanula cochleariifolia,campanula dei ghiaioni
Campanula erinus,campanula minore
Campanula glomerata,campanula agglomerata
Campanula latifolia,campanula maggiore
Campanula patula,campanula bienne
Campanula persicifolia,campanula con foglie di pesco
Campanula rapunculoides,campanula serpeggiante
Campanula rapunculus,campanula commestibile
Campanula scheuchzeri,campanula di scheuchzer
Campanula sibirica,campanula siberiana
Campanula spicata,campanula spigata
Campanula trachelium,campanula selvatica
Camphorosma monspeliaca,canforata di montpellier
Cannabis sativa,canapa comune
Capparis spinosa,cappero comune
Capsella bursa-pastoris,borsapastore comune
Capsella rubella,borsapastore annuale
Capsicum annuum,peperone
