Abelia chinensis var. ionandra;たいわんつくばねうつぎ;台湾衝羽根空木
Brassica chinensis var. rosularis;ターサイ;搨菜
Brassica juncea;やまがたせいさい;山形青菜
Brassica juncea;せいようからしな;西洋芥子菜
Brassica juncea var. integlifolia;たかな;高菜
Brassica napus;せいようあぶらな;西洋油菜
Brassica oleracea var. acephala;ケール;羽衣甘藍
Brassica oleracea var. acephala;はぼたん;葉牡丹
Brassica oleracea var. botrytis;カリフラワー;花椰菜
Brassica oleracea var. botrytis;ブロッコリー;緑花椰菜
Brassica oleracea var. botrytis f. botrytis;ロマネスコ;
Brassica oleracea var. capitata;キャベツ;球菜・甘藍
Brassica oleracea var. gonygylodes;コールラビ;蕪甘藍
Brassica rapa var. chinensis;チンゲンさい;青梗菜
Brassocattleya sp.;ブラッソカトレア;
Brassolaelia sp.;ブラッソレリア;
Breynia disticha;ようしゅこばんのき;洋種小判の木
Breynia fruticosa;ブレイニア・フルティコサ;
Breynia officinalis;おおしまこばんのき;大島小判の木
Briza maxima;こばんそう;小判草
Briza minor;ひめこばんそう;姫小判草
Brodiaea coronaria;ブローディアエア・コロナリア;
Bromelia nidus-puellae;ブロメリア・ニドゥスプエラエ;
Bromus catharticus;いぬむぎ;犬麦
Bromus japonicus;すずめのちゃひき;雀の茶挽
Bromus rigidus;ひげながすずめのちゃひき;髭長雀の茶挽
Bromus secalinus;からすのちゃひき;烏の茶挽
Bromus sitchensis;のげいぬむぎ;芒犬麦
Broussonetia kazinoki;ひめこうぞ;姫楮
Broussonetia kazinoki x papyrifera;こうぞ;楮
Broussonetia papyrifera;かじのき;梶の木
Browallia viscosa;ブロワリア・ウィスコーサ;
Brownea grandiceps;おおほうかんぼく;大宝冠木
Bruguiera gymnorrhiza;おひるぎ;雄漂木
Brunfelsia americana;アメリカばんまつり;アメリカ蕃茉莉
Brunfelsia australis;においばんまつり;匂い蕃茉莉
Brunnera macrophylla;ブルンネラ・マクロフィラ;
Brunsvigia striata;ブルンスウィギア・ストリアータ;
Buckleyaa lanceolata;つくばね;衝羽根
Buddleja curviflora f. venenifera;うらじろふじうつぎ;裏白藤空木
Buddleja davidii;ふさふじうつぎ;房藤空木
Buddleja japonica;ふじうつぎ;藤空木
Buddleja lindleyana;とうふじうつぎ;唐藤空木
Bulbine alooides;ブルビネ・アローイデス;
Bulbine frutescens;ブルビネ・フルテスケンス;
Bulbinella floribunda;ブルビネラ・フロリブンダ;
Bulbophyllum carunculatum;ブルボフィルム・カルンクラツム;
Bulbophyllum cupreum;ブルボフィルム・クプレウム;
Bulbophyllum dearei;ブルボフィルム・デアレイ;
Bulbophyllum fritillariflorum;ブルボフィルム・フリチラリフロルム;
Bulbophyllum hashimotoi;ブルボフィルム・ハシモトイ;
Bulbophyllum lasiochilum;ブルボフィルム・ラシオキルム;
Bulbophyllum mandibulare;ブルボフィルム・マンディブラーレ;
Bulbophyllum medusae;ブルボフィルム・メデューサエ;
Bumelia lanuginosa;チッタムウッド;
Bunchosia armeniaca;アメイシャ;
Bupleurum longiradiatum ssp. sachalinense var. elatius;ほたるさいこ;蛍柴胡
Bupleurum scorzoneraefolium var. stenophyllum;みしまさいこ;三島柴胡
Burchellia bubalina;バーチェリア;
Burrageara cv.;ブラゲアラ;
Butia capitata;ブラジルやし;ブラジル椰子
Butia yatay;ヤタイやし;ヤタイ椰子
Buxus microphylla var. japonica;つげ;黄楊
Byblis liniflora;ビブリス・リニフローラ;
Cacalia adenostyloides;かにこうもり;蟹蝙蝠
Cacalia auriculata var. kamtschatica;みみこうもり;耳蝙蝠
Cacalia delphiniifolia;もみじがさ;紅葉傘
Cacalia farfaraefolia var. bulbifera;たまぶき;玉蕗
Cacalia hastata ssp. orientalis;よぶすまそう;夜衾草
Cacalia nikomontana;おおかにこうもり;大蟹蝙蝠
Cacalia yatabei;やまたいみんがさ;山大明傘
Caesalpinia decapetala var. japonica;じゃけついばら;蛇結茨
Caesalpinia gilliesii;カエサルピニア・ギリエシイ;
Caesalpinia mexicana;カエサルピニア・メキシカーナ;
Caesalpinia sappan;すおう;蘇芳
Cakile edentula;おにはまだいこん;鬼浜大根
Caladium bicolor;カラジウム;
Calamagrostis epigeios;やまあわ;山粟
Calamagrostis hakonensis;ひめのがりやす;姫野刈安
Calamagrostis langsdorffii;いわのがりやす;岩野刈安
Calamagrostis longiseta;ひげのがりやす;髭野刈安
Calamintha nepeta;カラミンサ・ネペタ;
Calanthe discolor;じえびね;地海老根
Calanthe furcata;つるらん;鶴蘭
Calanthe okinawensis;りゅうきゅうえびね;琉球海老根
Calanthe reflexa;なつえびね;夏海老根
Calanthe sieboldii;きえびね;黄海老根
Calanthe sp.;カランセ;
Calanthe tricarinata;さるめんえびね;猿面海老根
Calanthe vestita;カランセ・ウェスティータ;
Calathea bachemiana;カラテア・バケミアーナ;
Calathea burle-marxii;カラテア・ブルレマルクシイ;
Calathea insignis;カラテア・インシグニス;
Calathea picturata cv. Argentea;カラテア・アルゲンテア;
Calathea rotundifolia;カラテア・ロツンディフォリア;
Calathea rufibarba;カラテア・ルフィバルバ;
Calathea taeniosa;カラテア・テニオサ;
Calathea warscewiczii;カラテア・バルセビッチ;
Calceolaria x herbeohybrida;カルセオラリア;巾着草
Caldesia parnassifolia;まるばおもだか;丸葉面高
Calendula officinalis;きんせんか;金盞花
Calendula sp.;ふゆしらず;冬知らず
Calla palustris;ひめかいう;姫海芋
Calliandra brevipes;カリアンドラ・ブレビペス;常磐合歓
Calliandra emarginata;カリアンドラ・エマルギナタ;
Calliandra eriophylla;べにごうかん;紅合歓
Calliandra haematocephala;カリアンドラ・ハエマトケフェラ;
Calliandra haematocephala cv. Alba;カリアンドラ・ハエマトケフェラ・アルバ;
Calliandra selloi;カリアンドラ・セロイ;常磐合歓
Calliandra surinamensis;カリアンドラ・スリナメンシス;
Calliandra tweedii;カリアンドラ・トウェーディイ;
Callianthemum miyabeanum;ひだかそう;日高草
Callicarpa americana;カリカルパ・アメリカーナ;
Callicarpa americana f. lactea;カリカルパ・ラクテア;
Callicarpa bodinieri;カリカルパ・ボディニエリ;
Callicarpa dichotoma;こむらさき;小紫
Callicarpa dichotoma var. albi-fructus;しろみのこむらさき;白実の小紫
Callicarpa giraldii var. giraldii;カリカルパ・ギラルディイ;
Callicarpa japonica;むらさきしきぶ;紫式部
Callicarpa japonica var. luxurians;おおむらさきしきぶ;大紫式部
Callicarpa kochiana;ビロードむらさき;天鵞絨紫
Callicarpa longifolia;カリカルパ・ロンギフォリア;
Callicarpa mollis;やぶむらさき;藪紫
Callicarpa shikokiana;とさむらさき;土佐紫
Callirhoe alcaeoides;ライトポピーマロー;
Callirhoe digitata;ワインカップ;
Callisia fragrans;カリシア・フラグランス;枝垂れ露草
Callistemon citrinus;はなまき;花槙
Callistemon linearis;ほそばぶらしのき;細葉ブラシの木
Callistemon pinifolius;カリステモン・ピニフォリウス;
Callistemon rigidus;まきばぶらしのき;槙葉ブラシの木
Callistemon salignus;しろばなぶらしのき;白花ブラシの木
Callistemon speciosus;ぶらしのき;ブラシの木
Callistemon subulatus;カリステモン・スブラツス;
Callistephus chinensis;アスター;蝦夷菊
Calluna vulgaris;カルーナ・ウルガリス;
Calocarpum sapota;おおみあかてつ;大実赤鉄
Calocedrus formosana;しょうなんぼく;肖楠木
Calodendrum capense;カロデンドルム・カペンセ;
Calonyction aculeatum;よるがお;夜顔
Calophyllum inophyllum;てりはぼく;照り葉木
Calotropis gigantea;アコン;
Caltha leptosepala;カルタ・レプトセパラ;
Caltha palustris;カルタ・パルストリス;
Caltha palustris var. barthei;えぞのりゅうきんか;蝦夷の立金花
Caltha palustris var. enkoso;えんこうそう;猿猴草
Caltha palustris var. nipponica;りゅうきんか;立金花
Calycanthus floridus;くろばなろうばい;黒花蝋梅
Calylophus drummondianus;カリロフス・ドルモンディアヌス;
Calystegia hederacea;こひるがお;小昼顔
Calystegia japonica;ひるがお;昼顔
Calystegia sepium;ひろはひるがお;広葉昼顔
Calystegia soldanella;はまひるがお;浜昼顔
Camassia cusickii;カマシア・クシッキイ;
Camassia leichtlinii;カマシア・レイクトリニイ;
Camellia amplexicaulis;かいどうつばき;海棠椿
Camellia chrysantha;きんかちゃ;金花茶
Camellia cucphuongensis;カメリア・クックフォンゲンシス;
Camellia hiemalis;かんつばき;寒椿
Camellia japonica;つばき;椿
Camellia japonica;やぶつばき;藪椿
Camellia japonica;むろまちつばき;室町椿
Camellia japonica cv. Goshiki-tsubaki;ごしきつばき;五色椿
Camellia japonica var. decumbens;ゆきつばき;雪椿
Camellia lutchuensis;ひめさざんか;姫山茶花
Camellia sasanqua;さざんか;山茶花
Camellia sinensis;ちゃのき;茶の木
Camellia sinensis var. assamica;アッサムちゃ;アッサム茶
Camellia wabisuke;わびすけ;侘助
Camissonia cheiranthifolia;カミッソニア・ケイランティフォリア;
Camissonia ovata;カミッソニア・オウァータ;
Campanula chamissonis;ちしまぎきょう;千島桔梗
Campanula cochlearifolia;カンパニュラ・コクレアリフォリア;
Campanula glomerata;カンパニュラ・グロメラータ;
Campanula glomerata var. dahurica;やつしろそう;八代草
Campanula grossekii;ハンガリーぎきょう;ハンガリー桔梗
Campanula lasiocarpa;いわぎきょう;岩桔梗
Campanula medium;ふうりんそう;風鈴草
Campanula olympica;カンパニュラ・オリンピカ;
Campanula patula;カンパニュラ・パツラ;
Campanula poscharskyana;カンパニュラ・ポシャルスキアーナ;
Campanula punctata;しろばなやまほたるぶくろ;白花山蛍袋
Campanula punctata;ほたるぶくろ;蛍袋
Campanula punctata cv. Pink Octopus;ほたるぶくろ・ピンクオクトパス;蛍袋・ピンクオクトパス
Campanula punctata var. hondoensis;やまほたるぶくろ;山蛍袋
Campanula rhomboidalis;カンパニュラ・ロンボイダリス;
Campanula rotundifolia;いとしゃじん;糸沙参
Campanula scheuchzeri;カンパニュラ・ショイヒツェリ;
Campanula thyrsoides;カンパニュラ・ティルソイデス;
Campanula trachelium;カンパニュラ・トラケリウム;髭桔梗
Campanula uemurae;ほろとそう;幌登草
Campanula versicolor;カンパニュラ・ウェルシコロル;
Campsis grandiflora;のうぜんかずら;凌霄花
Campsis radicans;アメリカのうぜんかずら;アメリカ凌霄花
Camptotheca acuminata;かんれんぼく;旱蓮木
Campylotropis polyantha;うんなんはぎ;雲南萩
Cananga odorata;イランイランのき;木
Cananga odorata var. fruticosa;ちゃぼイランイランのき;矮鶏
Canavalia gladiata;なたまめ;鉈豆
Canna edulis;しょくようカンナ;食用カンナ
Canna indica;だんどく;壇特・曇華
Canna x generalis;カンナ;
Cannabis stiva;たいま;大麻
Cantua buxifolia;カンツア・ブクシフォリア;
Capparis sandwichiana;カッパリス・サンドウィッチアナ;
Capsella bursa-pastoris;なずな;薺
Capsicum annuum;とうがらし;唐辛子
Capsicum annuum cv.;ごしきとうがらし;五色唐辛子
Capsicum annuum var. grossum;ピーマン;
Capsicum annuum var. grossum;ししとうがらし;獅子唐辛子
Caragana sinica;むれすずめ;群雀
Cardamine amara;カルダミネ・アマラ;
Cardamine appendiculata;ひろはこんろんそう;広葉崑崙草
Cardamine flexuosa;たねつけばな;種漬花
Cardamine hirsuta;みちたねつけばな;路種漬花
Cardamine impatiens;じゃにんじん;蛇人参
Cardamine leucantha;こんろんそう;崑崙草
Cardamine pratensis;はなたねつけばな;花種漬花
Cardamine regeliana;おおばたねつけばな;大葉種漬花
Cardamine sp.;からふとたねつけばな;樺太種漬花
Cardamine tanakae;まるばこんろんそう;丸葉崑崙草
Cardiandra alternifolia;くさあじさい;草紫陽花
Cardiocrinum cordatum;うばゆり;姥百合
Cardiocrinum cordatum var. glehnii;おおうばゆり;大姥百合
Cardiospermum halicacabum;ふうせんかずら;風船葛
Carduus crispus;ひれあざみ;鰭薊
Carduus defloratus;カルドゥウス・デフロラツス;
Carduus nutans;じゃこうあざみ;麝香薊
Carduus personata;カルドゥウス・ペルソナタ;
Carex albata;みのぼろすげ;蓑襤褸菅
Carex angustisquama;やまたぬきらん;山狸蘭
Carex conica;ひめかんすげ;
Carex dimorpholepis;あぜなるこ;畔鳴子
Carex dispalata;かさすげ;笠菅
Carex doenizii;こたぬきらん;小狸蘭
Carex doniana;しらすげ;白菅
Carex flavocuspis;みやまくろすげ;深山黒菅
Carex foliosissima;おくのかんすげ;奥の寒菅
Carex insaniae var. insaniae;ひろばすげ;広葉菅
Carex japonica;ひごくさ;籤草
Carex kiotensis;てきりすげ;手切り菅
Carex kobomugi;こうぼうむぎ;弘法麦
Carex lenta;なきりすげ;菜切り菅
Carex limosa;やちすげ;谷地菅
Carex michauxiana var. asiatica;みたけすげ;御岳菅
Carex middendorffii;とまりすげ;泊菅
Carex mira;さわひめすげ;沢姫菅
Carex morrowii;かんすげ;寒菅
Carex oahuensis var. robusta;ひげすげ;髭菅
Carex olivacea var. angustior;みやましらすげ;深山白菅
Carex paupercula;だけすげ;岳菅
Carex pendula;カレクス・ペンデュラ;
Carex persistens;きんきかさすげ;近畿笠菅
Carex podogyna;たぬきらん;狸蘭
Carex pumila;こうぼうしば;弘法芝
Carex rhychophisa;おおかさすげ;大笠菅
Carex sachalinensis var. iwakiana;こいとすげ;小糸菅
Carex sadoensis;さどすげ;佐渡菅
Carex scita var. brevisquama;あしぼそすげ;足細菅
Carex siderosticta;たがねそう;鏨草
Carex thunbergii;あぜすげ;畔菅
Carex vesicaria;おになるこすげ;鬼鳴子菅
Carica papaya;パパイア;
Carica parviflora;カリカ・パルウィフローラ;
Carissa carandas;カリッサ・カランダス;
Carissa macrocarpa;カリッサ・マクロカルパ;
Carludovica brachypus;やばねパナマ;矢羽根パナマ
Carludovica palmata;パナマそう;パナマ草
Carnegiea gigantea;べんけいちゅう;弁慶柱
Carpesium abrotanoides;やぶたばこ;藪煙草
Carpesium cernuum;こやぶたばこ;小藪煙草
Carpesium divaricatum;がんくびそう;雁首草
Carpesium glossophyllum;さじがんくびそう;匙雁首草
Carpinus cordata;さわしば;沢柴
Carpinus japonica;くましで;熊四手
Carpinus laxiflora;あかしで;赤四手
Carpinus tschonskii;いぬしで;犬四手
Carpobrotus chilensis;カルポブローツス・キレンシス;
Carpobrotus edulis;カルポブローツス・エドゥリス;
Carthamus tinctorius;べにばな;紅花
Carum carvi;キャラウェイ;姫茴香
Carya illinoensis;ペカン;ピーカン
Caryopteris divaricata;かりがねそう;雁金草
Caryopteris incana;だんぎく;段菊
Caryopteris x clandonensis;はなしきぶ;花式部
Caryota mitis;こもちくじゃくやし;子持ち孔雀椰子
Casimiroa edulis;ホワイトサポテ;
Cassia angustifolia;ほそばセンナ;細葉センナ
Cassia alata;キャンドルブッシュ;羽根センナ
Cassia coluteoides;こばのセンナ;小葉のセンナ
Cassia corymbosa;はなセンナ;花センナ
Cassia didymobotrya;こやしセンナ;肥やし
Cassia durangensis;ふたばセンナ;双葉センナ
Cassia fistula;なんばんさいかち;南蛮皀莢
Cassia floribunda;カッシア・フロリブンダ;
Cassia fruticosa;よつばセンナ;四葉センナ
Cassia javanica;ピンクシャワー;胡蝶センナ
Cassia lindheimeriana;カッシア・リンドハイメリアナ;
Cassia minosoides ssp. nomame;かわらけつめい;河原決明
Cassia obtusifolia;えびすぐさ;夷草
Cassia occidentalis;はぶそう;波布草
Cassia sp.;カッシア;
Cassia surattensis;もくセンナ;木センナ
Cassia x nealiae;レインボーシャワー;
Cassine crocea;カッシーネ・クロケア;
Cassiope lycopodioides;いわひげ;岩髭
Castanea crenata;くり;栗
Castanopsis cuspidata;つぶらじい;円椎
Castanopsis sieboldii;すだじい;すだ椎
Castanospermum australe;ブラックビーン;ジャックと豆の木
Castilleja affinis;カスティレヤ・アフィニス;
Castilleja indivisa;カスティレヤ・インディウィサ;
Castilleja lantana;カスティレヤ・ラナータ;
Castilleja lemmonii;カスティレヤ・レモニイ;
Castilleja linariifolia;カスティレヤ・リナリイフォリア;
Castilleja miniata;カスティレヤ・ミニアタ;
Casuarina stricta;もくまおう;木麻黄
Catalpa bignonioides;アメリカきささげ;アメリカ木大角豆
Catalpa ovata;きささげ;木大角豆
Catalpa speciosa;はなきささげ;花木大角豆
Catasetum Grace Dunn;カタセツム・グレースダン;
Catharanthus roseus;にちにちそう;日日草
Catopsis berteroniana;カトプシス・ベルテロニアナ;
Catopsis pendula;カトプシス・ペンデュラ;
Cattleya aurantiaca;カトレア・アウランティアカ;
Cattleya forbesii;カトレア・フォルベシー;
Cattleya maxima;カトレア・マキシマ;
Cattleya sp.;カトレア;
Caulophyllum robustum;るいようぼたん;類葉牡丹
Caultheria pyroloides;しらたまのき;白玉の木
Cayratia japonica;やぶからし;藪枯らし
Ceanothus cuneatus var. rigidus;セアノサス・リギドゥス;
Ceanothus foliosus;セアノサス・フォリオスス;
Ceanothus integerrimus;ディアブッシュ;
Ceanothus sp.;セアノサス;
Ceanothus thyrsiflorus var. repens;セアノサス・レペンス;
Cedrela australis;オーストラリアちゃんちん;
Cedrela sinensis;ちゃんちん;香椿
Cedrus atlantica;アトラスシーダー;
Cedrus atlantica cv. Glauca;ブルーアトラスシーダー;
Cedrus atlantica cv. Glauca Pendula;しだれブルーアトラスシーダー;
Cedrus deodara;ヒマラヤすぎ;ヒマラヤ杉
Cedrus libani;レバノンシーダー;
Ceiba pentandra;パンヤのき;木
Celastrus orbiculatus;つるうめもどき;
Celastrus orbiculatus var. strigillosus;おにつるうめもどき;鬼蔓梅擬き
Celmisia semicordata;ケルミシア・セミコルダータ;
Celosia argentea;のげいとう;野鶏頭
Celosia cristata;けいとう;鶏頭
Celtis lindheimeri;リンドハイマーハックベリー;
Celtis sinensis var. japonica;えのき;榎
Celtis tenuifolia;ジョージアハックベリー;
Centaurea alpestris;ケンタウレア・アルペストリス;
Centaurea cyanus;やぐるまぎく;矢車菊
Centaurea dealbata;ケンタウレア・デアルバータ;
Centaurea gymnocarpa;ケンタウレア・ギムノカルパ;
Centaurea jacea;やぐるまあざみ;矢車薊
Centaurea montana;やまやぐるまぎく;山矢車菊
Centaurea pseudofrigia;ケンタウレア・プセウドフリギア;
Centaurium erythraea;べにばなせんぶり;紅花千振
Centaurium tenuiflorum;はなはませんぶり;花浜千振
Centradenia floribunda;ケントラデニア・フロリブンダ;
Centranthus ruber;バレリアンレッド;紅鹿子草
Centratherum punctatum;むらさきるーしゃん;紫るーしゃん
Cephalanthera austiniae;ケファランテラ・アウスティニアエ;
Cephalanthera erecta;ぎんらん;銀蘭
Cephalanthera falcata;きんらん;金蘭
Cephalanthus occidentalis;アメリカたにわたりのき;アメリカ谷渡りの木
Cephalocereus senilis;おきなまる;翁丸
Cephalophyllum alstonii;ケファロフィルム・アルストニー;
Cephalotaxus harringtonia;いぬがや;犬榧
Cephalotaxus harringtonia f. fastigiata;ちょうせんまき;朝鮮槙
Cephalotaxus harringtonia var. nana;はいいぬがや;這犬榧
Cerastium arvense;せいようみみなぐさ;西洋耳菜草
Cerastium arvense ssp. strictum;ケラスティウム・ストリクツム;
Cerastium glomeratum;オランダみみなぐさ;オランダ耳菜草
Cerastium holosteides;みみなぐさ;耳菜草
Cerastium latifolium;ケラスティウム・ラティフォリウム;
Cerastium pauciflorum var. amurense;たがそでそう;誰袖草
Cerastium schizopetalum var. bifidum;くもまみみなぐさ;雲間耳菜草
Cerastium tomemtosum;しろみみなぐさ;白耳菜草
Ceratopetalum gummiferum;クリスマスブッシュ;
Ceratopteris thalictroides;みずわらび;水蕨
Ceratostigma griffithii;ブータンるりまつり;ブータン瑠璃茉莉
Ceratostigma plumbaginoides;るりまつりもどき;瑠璃茉莉擬き
Ceratostylis retisquama;ケラトスティリス・レティスクアマ;
Ceratotheca triloba;ワイルドフォックスグローブ;
Cerbera manghas;みふくらぎ;目膨木
Cercidiphyllum japonicum;かつら;桂
Cercidiphyllum magnificum;ひろはかつら;広葉桂
Cercis canadensis;アメリカはなずおう;アメリカ花蘇芳
Cercis canadensis cv. Forest Pansy;アメリカはなずおう・フォレストパンジー;
Cercis canadensis ssp. texensis;テキサスはなずおう;テキサス花蘇芳
Cercis chinensis;はなずおう;花蘇芳
Cercis siliquastrum;せいようはなずおう;西洋花蘇芳
Cereus hildmannianus var. monstrose;ケレウス・モンストローセ;
Cereus jamacaru;ヤマカルちゅう;ヤマカル柱
Cereus pervianus;きめんかく;鬼面角
Cereus variabilis f. monst;きんじし;金獅子
Ceropegia woodii;ハートかずら;ハート葛
Cestrum aurantiacum;きちょうじ;黄丁字
Cestrum elegans;ケストルム・エレガンス;紅花夜香花
Cestrum nocturnum;やこうか;夜香花
Cestrum parqui;ケストルム・パルクイ;厚葉夜香木
Cestrum sp.;ケストルム・パープルエレガンス;
Chaenactis douglasii;カエナクティス・ダグラシイ;
Chaenactis glabriuscula;カエナクティス・グラブリウスクラ;
Chaenomeles cathayensis;まぼけ;真木瓜
Chaenomeles japonica;くさぼけ;草木瓜
Chaenomeles sinensis;かりん;花梨
Chaenomeles speciosa;ぼけ;木瓜
Chaenomeles speciosa;かんぼけ;寒木瓜
Chaenomeles speciosa cv. Canton;かんとんぼけ;広東木瓜
Chaenomeles speciosa cv. Toyo-nishiki;ぼけ・とうようにしき;木瓜・東洋錦
Chaerophyllum hirsutum var. roseum;カエロフィルム・ロセウム;
Chamaecereus silvestris;びゃくだん;白檀
Chamaecereus silvestris;びゃくだん;白檀
Chamaecyparis obtusa;ひのき;檜
Chamaecyparis pisifera cv. Filifera;いとひば;糸檜葉
Chamaecytisus hirsutus;カマエキティスス・ヒルスツス;
Chamaedorea elegans;テーブルやし;テーブル椰子
Chamaedorea seifirizii;カマエドレア・サイフリツィー;
Chamaele decumbens;せんとうそう;仙洞草
Chamaenerion angustifolium;やなぎらん;柳蘭
Chamaepericlymenum canadense;ごぜんたちばな;御前橘
Chamaepericlymenum suecicum;えぞごぜんたちばな;蝦夷御前橘
Chamaerops humilis;ちゃぼとうじゅろ;矮鶏唐棕櫚
Chamelaucium sp.;カメラウキウム;ワックスフラワー
Chamelaucium uncinatum;ワックスフラワー;
Chasmanthe aethiopica;カスマンテ・エチオピカ;
Chasmanthium latifolium;ワイルドオーツ;
Cheiridopsis caroli-schmidtii;ケイリドプシス・カロリシュミッティ;
Cheiridopsis purpurea;ケイリドプシス・プルブレア;
Chelidonium japonicus;やまぶきそう;山吹草
Chelidonium japonicus f. dissectum;せりばやまぶきそう;芹葉山吹草
Chelidonium majus var. asiaticum;くさのおう;草の黄
Chelone lyonii;リオン;麝香草擬き
Chelonopsis moschata;じゃこうそう;麝香草
Chelonopsis yagiharana;あしたかじゃこうそう;愛鷹麝香草
Chenopodium album;しろざ;白藜
Chenopodium bonus-henricus;ケノポディウム・ボヌスヘンリクス;
Chenopodium centrorubrum;あかざ;藜
Chenopodium glaucum;うらじろあかざ;裏白藜
Chenopodium pumilio;ごうしゅうありたそう;豪州有田草
Chenopodium virgatum;かわらあかざ;河原藜
Chilopsis linearis;デザートウィロー;
Chimaphila japonica;うめがさそう;梅笠草
Chimonanthus praecox;ろうばい;蝋梅
Chimonanthus praecox var. lutea;そしんろうばい;素心蝋梅
Chimonanthus praecox var. lutea cv. Mangetsu;まんげつろうばい;満月蝋梅
Chimonobambusa marmorea;かんちく;寒竹
Chimonobambusa marmorea f. variegata;ちごかんちく;稚児寒竹
Chinographis japonica;しらいとそう;白糸草
Chinographis japonica var. Koshiki Form;こしきしらいとそう;甑白糸草
Chionanthus retusa;ひとつばたご;一つ葉たご
Chionanthus virginicus;アメリカひとつばたご;アメリカ一つ葉たご
Chionodoxa gigantea;チオノドクサ・ギガンテア;
Chionodoxa luciliae;チオノドクサ・ルキリアエ;雪解百合
Chirita dielsii;キリタ・ディエルシー;
Chirita fimbrisepala;キリタ・フィンブリセパラ;
Chirita micromusa;キリタ・ミクロムーサ;
Chirita sinensis var. latifolia;キリタ・シネンシス・ラティフォリア;
Chirita sp.;キリタ;
Chloranthus japonicus;ひとりしずか;一人静
Chloranthus serratus;ふたりしずか;二人静
Chloranthus spicatus;ちゃらん;金栗蘭
Chlorophytum bichetii;シャムおりづるらん;シャム折り鶴蘭
Chlorophytum comosum;おりづるらん;折り鶴蘭
Choerospondias axillaris;ちゃんちんもどき;香椿擬き
Chondrus ocellatus;つのまた;角叉
Chorisia speciosa;とっくりきわた;徳利木綿
Chorizema cordatum;コリゼマ・コルダツム;
Christia vespertilionis;ひこうきそう;飛行機草
Chrysalidocarpus lutescens;やまどりやし;山鳥椰子
Chrysanthemum arcticum ssp. maekawanum;こはまぎく;小浜菊
Chrysanthemum boreale;あわこがねぎく;泡黄金菊
Chrysanthemum carinatum;はなわぎく;
Chrysanthemum coronarium;しゅんぎく;春菊
Chrysanthemum crassum;おおしまのじぎく;大島野路菊
Chrysanthemum frutescens;マーガレット;木春菊
Chrysanthemum grandiflorum;きく;菊
Chrysanthemum grandiflorum;きく・あつもの;菊・厚物
Chrysanthemum grandiflorum;きく・あつばしり;菊・厚走り
Chrysanthemum grandiflorum;きく・くだもの;菊・管物
Chrysanthemum grandiflorum cv. Saga;きく・さがぎく;菊・嵯峨菊
Chrysanthemum hosmariense;クリサンテムム・ホスマリエンセ;
Chrysanthemum indicum;しまかんぎく;島寒菊
Chrysanthemum indicum var. amruyamanum;おったちかんぎく;乙立寒菊
Chrysanthemum indicum var. aphrodite;さんいんぎく;山陰菊
Chrysanthemum indicum var. iyoense;いよあぶらぎく;伊予油菊
Chrysanthemum japonicum;りゅうのうぎく;竜脳菊
Chrysanthemum japonicum var. wakasaense;わかさはまぎく;若狭浜菊
Chrysanthemum multicaule;クリサンテムム・ムルチカウレ;
Chrysanthemum occidentali-japonense;きばなのじぎく;黄花野路菊
Chrysanthemum occidentali-japonense;のじぎく;野路菊
Chrysanthemum occidentali-japonense var. ashzuriense;あしずりのじぎく;足摺野路菊
Chrysanthemum okiense;おきのあぶらぎく;隠岐の油菊
Chrysanthemum ornatum;さつまのぎく;薩摩野菊
Chrysanthemum pacificum;いそぎく;磯菊
Chrysanthemum pallasianum;おおいわいんちん;大岩茵陳
Chrysanthemum paludosum cv. North Pole;ノースポール;
Chrysanthemum rupestre;いわいんちん;岩茵陳
Chrysanthemum shiwogiku;しおぎく;潮菊
Chrysanthemum shiwogiku var. kinokuniense;きいしおぎく;紀伊潮菊
Chrysanthemum weyrichii;ピレオぎく;ピレオ菊
Chrysanthemum x marginatum;はないそぎく;花磯菊
Chrysanthemum x morifolium;スプレーぎく;スプレー菊
Chrysanthemum x ogawae;ひのみさきぎく;日ノ御碕菊
Chrysanthemum x shimotomaii;にじがはまぎく;虹が浜菊
Chrysanthemum yoshinaganthum;なかがわのぎく;那賀川野菊
Chrysanthemum zawadskii;いわぎく;岩菊
Chrysanthemum zawadskii var. latilobum;ちょうせんのぎく;朝鮮野菊
Chrysocoma coma-aurea;クリソコマ・コマアウレア;
Chrysophyllum cainito;スターアップル;水晶柿
Chrysosplenium album;しろばなねこのめそう;白花猫の目草
Chrysosplenium album var. stamineum;はなねこのめ;花猫の目
Chrysosplenium flagelliferum;つるねこのめそう;蔓猫の目草
Chrysosplenium grayanum;ねこのめそう;猫の目草
Chrysosplenium japonicum;やまねこのめそう;山猫の目草
Chrysosplenium macrostemon var. shiobarenes;にっこうねこのめ;日光猫の目
Chrysosplenium maximowiczii;むかごねこのめそう;珠芽猫の目草
Chrysosplenium pilosum var. spharospermum;こがねねこのめそう;黄金猫の目草
Chrysosplenium ramosum;まるばねこのめそう;丸葉猫の目草
Chrysothemis pulchella;クリソテミス・プルケラ;
Cibotium barometz;たかわらび;高蕨
Cicerbita alpina;キケルビタ・アルピナ;
Cichorium endivia;エンダイブ;菊苣
Cichorium intybus;チコリ;菊苦菜
Cichorium intybus var. foliosum;トレビス;
Cicuta virosa;どくぜり;毒芹
Cimicifuga acerina;おおばしょうま;大葉升麻
