Abelia chinensis var. ionandra;たいわんつくばねうつぎ;台湾衝羽根空木
Actinidia kolomikta;みやままたたび;深山木天蓼
Actinidia polygama;またたび;木天蓼
Actinotus helianthi;フランネルフラワー;
Adansonia digitata;バオバブ;
Adansonia fony;フニーバオバブ;
Adansonia za;ザーバオバブ;
Adenandra uniflora;アデナンドラ・ユニフローラ;
Adenium obesum;アデニウム・オベスム;
Adenocaulon himalaicum;のぶき;野蕗
Adenophora lilifolia;レディーベル;
Adenophora nikoensis;ひめしゃじん;姫沙参
Adenophora nikoensis f. macrocalyx;おおばなのひめしゃじん;大花の姫沙参
Adenophora nikoensis f. linearifolia;ほそばひめしゃじん;細葉姫沙参
Adenophora nikoensis var. stenophylla;みやましゃじん;深山沙参
Adenophora perskiaefolia var. moiwana;もいわしゃじん;藻岩沙参
Adenophora perskiaefolia var. uryuensis;しらとりしゃじん;白鳥沙参
Adenophora remotiflora;そばな;岨菜
Adenophora sp.;こばこしゃじん;小函沙参
Adenophora takedae;いわしゃじん;岩沙参
Adenophora tashiroi;まるばしゃじん;丸葉沙参
Adenophora triphylla var. hakusanensis;はくさんしゃじん;白山沙参
Adenophora triphylla var. hakusanensis f. chionantha;しろばなはくさんしゃじん;白花白山沙参
Adenophora triphylla var. japonica;つりがねにんじん;釣鐘人参
Adenophora triphylla var. japonica f. glabra;はましゃじん;釣鐘人参
Adenophora triphylla var. triphylla;さいようしゃじん;細葉沙参
Adenostemma lavenia;ぬまだいこん;沼大根
Adenostyles alliariae;アデノスチレス・アリアリアエ;
Adhatoda vasica;アダトダ・ウァシカ;
Adianthum raddianum;からくさほうらいしだ;唐草蓬莱羊歯
Adiantum capillus-veneris;ほうらいしだ;鳳来羊歯
Adiantum flabelluatum;おきなわくじゃく;沖縄孔雀
Adiantum hispidulum;あらげくじゃくしだ;粗毛孔雀
Adiantum macrophyllum;ひろはくじゃく;広葉孔雀
Adiantum ogasawarense;いわほうらいしだ;岩蓬莱羊歯
Adiantum pedatum;くじゃくしだ;孔雀羊歯
Adiantum peruvianum;アジアンタム・ペルウィアヌム;
Adiantum trapeziforme;ひしがたほうらいしだ;菱形蓬莱羊歯
Adiantum venustum;アジアンタム・ウェヌスツム;
Adina pilulifera;たにわたりのき;谷渡りの木
Adonis multiflora;みちのくふくじゅそう;陸奥福寿草
Adonis ramosa;ふくじゅそう;福寿草
Aechmea caudata;エクメア・カウダータ;
Aechmea chantinii;エクメア・カンティニイ;
Aechmea fasciata;エクメア・ファスキアタ;
Aechmea fendleri;エクメア・フェンドレリ;
Aechmea fulgens;エクメア・フルゲンス;
Aechmea gamosepala;エクメア・ガモセパラ;
Aechmea maculata;エクメア・マクラタ;
Aechmea pectinata;エクメア・ペクチナータ;
Aegiceras corniculatum;つのやぶこうじ;角藪柑子
Aeginetia indica;なんばんぎせる;南蛮煙管
Aegle marmelos;ベルのき;ベルの木
Aeonium arboreum cv. Atropurpureum;くろほうし;
Aerangis biloba;エランギス・ビローバ;
Aeranthes grandiflora;エランテス・グランディフローラ;
Aeschynanthus javanicus;エスキナンサス・ジャワニクス;
Aeschynanthus obconicus;エスキナンサス・オブコニクス;
Aeschynanthus pulcher;エスキナンサス・プルケール;
Aeschynanthus radicans;エスキナンサス・ラディカンス;
Aeschynanthus sp.;エスキナンサス;
Aeschynanthus speciosus;エスキナンサス・スペキオスス;
Aeschynanthus tricolor;エスキナンサス・トリコロル;
Aeschynomene indica;くさねむ;草合歓
Aesculus hippocastanum;マロニエ;西洋栃の木
Aesculus indica;インドとちのき;インド栃の木
Aesculus pavia;あかばなとちのき;赤花栃の木
Aesculus turbinata;とちのき;栃の木
Aesculus x carnea;べにばなとちのき;紅花栃の木
Agalmyla parasitica;アガルミラ・パラシティカ;
Agapanthus africanus;アガパンサス;紫君子蘭
Agapetes serpens;アガペテス・セルペンス;
Agastache cana;アガスタケ・カーナ;
Agastache foeniculum;アニスヒソップ;
Agastache pallidiflora ssp. neomexicana cv. Rose Mint;アガスターシャ・ローズミント;
Agastache rugosa;かわみどり;川緑
Agave americana;あおのりゅうぜつらん;青の竜舌蘭
Agave americana cv. Marginata;ふくりんりゅうぜつらん;覆輪竜舌蘭
