Ranunculus glacialis;Jääleinikki;
Sonchus oleraceus;Kaalivalvatti;
Pedicularis sceptrum-carolinum;Kaarlenvaltikka;
Viola selkirkii;Kaiheorvokki;
Thalictrum lucidum;Kaitaängelmä;Kiiltoängelmä
Spergula morisonii;Kalliohatikka;
Polygonatum odoratum;Kalliokielo;
Silene rupestris;Kalliokohokki;
Draba norvegica;Kalliokynsimö;
Sedum rupestre;Kalliomaksaruoho;
Saxifraga adscendens;Kalliorikko;
Lappula deflexa;Kalliosirkunjyvä;
Senecio sylvaticus;Kalliovillakko;
Acorus calamus;Kalmojuuri;Rohtokalmojuuri
Matricaria chamomilla;Kamomillasaunio;
Conyza canadensis;Kanadankoiransilmä;
Solidago canadensis;Kanadanpiisku;Kanadantarhapiisku
Calluna vulgaris;Kanerva;
Thymus serpyllum;Kangasajuruoho;
Melampyrum pratense;Kangasmaitikka;
Gypsophila fastigiata;Kangasraunikki;
Pulsatilla vernalis;Kangasvuokko;
Linaria vulgaris;Kannusruoho;Keltakannusruoho
Typha angustifolia;Kapeaosmankäämi;
Galeopsis tetrahit;Karheapillike;
Meum athamanticum;Karhunjuuri;
Calystegia sepium;Karhunköynnös;
Allium ursinum;Karhunlaukka;
Angelica sylvestris;Karhunputki;
Tofieldia pusilla;Karhunruoho;Pohjankarhunruoho
Ajuga pyramidalis;Kartioakankaali;
Epilobium hirsutum;Karvahorsma;
Hypericum hirsutum;Karvakuisma;
Fragaria viridis;Karvamansikka;
Sisymbrium loeselii;Karvapernaruoho;
Cruciata laevipes;Karvaristimatara;
Erigeron acris;Karvaskallioinen;
Laserpitium latifolium;Karvasputki;Lehtokarvasputki
Malva neglecta;Katinjuustomalva;
Polygala amarella;Katkeralinnunruoho;
Iberis amara;Katkerasaippo;
Persicaria hydropiper;Katkeratatar;
Heracleum mantegazzianum;Kaukasianjättiputki;
Sedum spurium;Kaukasianmaksaruoho;
Bellis perennis;Kaunokainen;
Calendula officinalis;Kehäkukka;Tarhakehäkukka
Scutellaria hastifolia;Keihäsvuohennokka;
Erica tetralix;Kellokanerva;Nummikellokanerva
Polemonium acutiflorum;Kellosinilatva;
Pyrola media;Kellotalvikki;
Trifolium aureum;Kelta-apila;
Abutilon theophrasti;Kelta-aulio;
Centaurea macrocephala;Keltakaunokki;
Iris pseudacorus;Keltakurjenmiekka;
Platanthera chlorantha;Keltalehdokki;
Lotus corniculatus;Keltamaite;
Lysichiton americanus;Keltamajavankaali;
Sedum acre;Keltamaksaruoho;
Galium verum;Keltamatara;
Chelidonium majus;Keltamo;
Narcissus pseudonarcissus;Keltanarsissi;
Picris hieracioides;Keltanokitkerö;
Cirsium oleraceum;Keltaohdake;
Lamiastrum galeobdolon;Keltapeippi;
Stachys annua;Keltapähkämö;
Anthemis tinctoria;Keltasauramo;
Sinapis alba;Keltasinappi;
Digitalis grandiflora;Keltasormustinkukka;
Glebionis segetum;Keltasuvikakkara;Keltapäivänkakkara
Anemone ranunculoides;Keltavuokko;
Thalictrum flavum;Keltaängelmä;
Lepidium campestre;Kenttäkrassi;
Ononis spinosa ssp. arvensis;Kenttäorakko;
Euphorbia esula;Kenttätyräkki;
Gypsophila elegans;Kesäharso;
Leontodon hispidus;Kesämaitiainen;
Sedum annuum;Kesämaksaruoho;
Dicentra formosa;Kesäpikkusydän;
Viola tricolor;Keto-orvokki;
Potentilla anserina;Ketohanhikki;
Cerastium arvense;Ketohärkki;
Centaurea scabiosa;Ketokaunokki;
Crepis tectorum;Ketokeltto;
Carlina vulgaris;Ketokurho;
Clinopodium acinos;Ketokäenminttu;
Artemisia campestris;Ketomaruna;
Dianthus deltoides;Ketoneilikka;
Androsace septentrionalis;Ketonukki;
Gypsophila muralis;Ketoraunikki;
Filago arvensis;Ketotuulenlento;
Veronica arvensis;Ketotädyke;
Primula veris;Kevätesikko;
Potentilla crantzii;Keväthanhikki;
Omphalodes verna;Kevätkaihonkukka;
Erophila verna;Kevätkynsimö;
Ranunculus fallax -ryhmä;Kevätlehtoleinikit;
Ranunculus auricomus -ryhmä;Kevätleinikit;
Lathyrus vernus;Kevätlinnunherne;
Chrysosplenium alternifolium;Kevätlinnunsilmä;
Crocus vernus;Kevätsahrami;
Scrophularia vernalis;Kevätsyyläjuuri;
Thlaspi caerulescens;Kevättaskuruoho;
Veronica verna;Kevättädyke;
Stellaria holostea;Kevättähtimö;
Doronicum orientale;Kevätvuohenjuuri;
Mentha x verticillata;Kiehkuraminttu;
Convallaria majalis;Kielo;
Fallopia convolvulus;Kiertotatar;
Galium aparine;Kierumatara;
Geranium lucidum;Kiiltokurjenpolvi;
Malva sylvestris;Kiiltomalva;
Veronica polita;Kiiltotädyke;
Cymbalaria muralis;Kilkkaruoho;Rauniokilkka
Hydrocharis morsus-ranae;Kilpukka;
Ophrys insectifera;Kimalaisorho;
Securigera varia;Kirjonivelvirna;
Fritillaria meleagris;Kirjopikarililja;
Galeopsis speciosa;Kirjopillike;
Gymnadenia conopsea;Kirkiruoho;Punakirkiruoho
Campanula rotundifolia;Kissankello;
Chaenorhinum minus;Kissankita;
Antennaria dioica;Kissankäpälä;Ahokissankäpälä
Cynoglossum officinale;Koirankieli;Rohtokoirankieli
Anthriscus sylvestris;Koiranputki;
Euphorbia peplus;Kolmisädetyräkki;
Lupinus polyphyllus;Komealupiini;
Ranunculus sceleratus;Konnanleinikki;
Bistorta officinalis;Konnantatar;Isokonnantatar
Nuphar pumila;Konnanulpukka;
Viola epipsila;Korpiorvokki;
Onopordum acanthium;Kruunuohdake;Okakruunuohdake
Trollius europaeus;Kullero;Niittykullero
Solidago virgaurea;Kultapiisku;
Saxifraga aizoides;Kultarikko;
Carum carvi;Kumina;
Comarum palustre;Kurjenjalka;
Phyllodoce caerulea;Kurjenkanerva;
Campanula persicifolia;Kurjenkello;
Carduus crispus;Kyläkarhiainen;
Geum urbanum;Kyläkellukka;
Geranium pratense;Kyläkurjenpolvi;
Atriplex patula;Kylämaltsa;
Lappula squarrosa;Kyläsirkunjyvä;
Cardaria draba;Kynsimökrassi;
Oxalis acetosella;Käenkaali;Ketunleipä
Lychnis flos-cuculi;Käenkukka;
Allium scorodoprasum;Käärmeenlaukka;
Vincetoxicum hirundinaria;Käärmeenpistonyrtti;Kalliokäärmeenpistonyrtti
Tropaeolum majus;Köynnöskrassi;Isoköynnöskrassi,Koristekrassi
Rubus chamaemorus;Lakka;Hilla,Muurain,Suomuurain,Valokki
Rhododendron lapponicum;Lapinalppiruusu;
Primula stricta;Lapinesikko;
Pedicularis lapponica;Lapinkuusio;
Dactylorhiza lapponica;Lapinkämmekkä;
Myosotis decumbens;Lapinlemmikki;
Viola biflora;Lapinorvokki;
Dryas octopetala;Lapinvuokko;
Armeria maritima;Laukkaneilikka;Rusolaukkaneilikka
Viola mirabilis;Lehto-orvokki;
Aquilegia vulgaris;Lehtoakileija;
Moehringia trinervia;Lehtoarho;
Epilobium montanum;Lehtohorsma;
Polygonatum multiflorum;Lehtokielo;
Ranunculus cassubicus -ryhmä;Lehtoleinikit;
Melampyrum nemorosum;Lehtomaitikka;
Epipactis helleborine;Lehtoneidonvaippa;
Impatiens noli-tangere;Lehtopalsami;
Stachys sylvatica;Lehtopähkämö;
Mercurialis perennis;Lehtosinijuuri;
Polemonium caeruleum;Lehtosinilatva;
Arctium nemorosum;Lehtotakiainen;
Stellaria nemorum;Lehtotähtimö;
Aconitum lycoctonum;Lehtoukonhattu;
Valeriana sambucifolia;Lehtovirmajuuri;
Thalictrum aquilegiifolium;Lehtoängelmä;
Tussilago farfara;Leskenlehti;
Saxifraga hirculus;Lettorikko;
Stellaria crassifolia;Lettotähtimö;
Typha latifolia;Leveäosmankäämi;
Scheuchzeria palustris;Leväkkö;
Cassiope tetragona;Liekovarpio;
Rubus saxatilis;Lillukka;
Lapsana communis;Linnunkaali;
Levisticum officinale;Liperi;
Alliaria petiolata;Litulaukka;
Arabidopsis thaliana;Lituruoho;
Descurainia sophia;Litutilli;Rohtolitutilli
Atriplex calotheca;Liuskamaltsa;
