Papaver dubium;Gærdevalmue;
Dactylorhiza lapponica;Gøgeurt;
Potentilla anserina;Gåsepotenlil;
Galeopsis speciosa;Hampagtig Hanekro;
Trifolium arvense;Harekløver;
Asarum europaeum;Hasselurt;
Centaurea dealbata;Have-Knopurt;
Calendula officinalis;Have-Morgenfrue;
Lepidium sativum;Havekarse;
Erodium cicutarium;Hejrenæb;
Cardaria draba;Hjertekarse;
Primula veris;Hulkravet Kodriver;
Trifolium aureum;Humle Kløver;
Viola canina;Hunde Viol;
Aethusa cynapium;Hundepersille;
Cynoglossum officinale;Hundetunge;
Campanula cervicaria;Hvas Klokke;
Anemone nemorosa;Hvid Anemone;
Epilobium ciliatum;Hvid Dueurt;
Trifolium repens;Hvid Kløver;
Nymphaea alba;Hvid Nøkkerose;
Sedum album;Hvid Stenurt;
Chenopodium album;Hvidmelet Gåsefod;
Dactylorhiza sambucina;Hylde Gøgeurt;
Capsella bursa-pastoris;Hyrdetaske;
Lappula deflexa;Hænge Pigfrø;
Cornus suecica;Hønsebær;
Galium spurium;Hørsnerre;
Pilosella Pilosellina;Håret Høgeurt;
Ranunculus glacialis;Isranunkel;
Polemonium caeruleum;Jakobsstige;
Petasites japonicus;Japansk Hestehov;
Acorus calamus;Kalmus;
Melampyrum cristatum;Kantet Kohvede;
Hypericum maculatum;Kantet Perikon;
Cassiope tetragona;Kantlyng;
Ranunculus cassubicus;Kassubisk Ranunkel;
Vicia cassubica;Kassubisk Vikke;
Lythrum salicaria;Kattehale;
Nepeta cataria;Katteurt;
Epilobium adenocaulon;Kirtlet Dueurt;
Veronica fruticans;Klippe-Ærenpris;
Erica tetralix;Klokkelyng;
Senecio viscosus;Klæbrig Brandbæger;
Silene viscosa;Klæbrig Limurt;
Myosoton aquaticum;Kløvkrone;
Lathyrus tuberosus;Knold Fladbælg;
Chaerophyllum bulbosum;Knoldet hulsvøb;
Goodyera repens;Knærod;
Carum carvi;Kommen;
Pedicularis sceptrum-carolinum;Kongescepter;
Corallorhiza trifida;Koralrod;
Consolida regalis;Korn Ridderspore;
Centaurea cyanus;Kornblomst;
Papaver rhoeas;Kornvalmue;Korn-Valmue
Glechoma hederacea;Korsknap;
Mentha x verticillata;Krans-Mynte;
Clinopodium vulgare;Kransbørste;
Stratiotes aloides;Krebseklo;
Rumex crispus;Kruset Skræppe;
Ajuga reptans;Krybende Læbeløs;
Potentilla reptans;Krybende Potentil;
Ranunculus reptans;Krybende Ranunkel;
Angelica archangelica ssp. litoralis;Kvan;
Sanguisorba officinalis;Kvæsurt;
Heracleum persicum;Kæmpe-Bjørneklo;
Cicerbita macrophylla;Kæmpe-Turt;
Papaver pseudoorientale;Kæmpe-Valmue;
Oenothera biennis;Kæmpenatlys;
Ranunculus flammula;Kær Ranunkel;
Galium palustre;Kær Snerre;
Geranium palustre;Kær Storkenæb;Kær-Storkenæb
Peucedanum palustre;Kær Svovlrod;
Spergularia salina;Kødet Hindeknæ;
Cirsium oleraceum;Kål Tidsel;
Plantago lanceolata;Lancetvejbred;
Stellaria longifolia;Langbladet Fladstjerne;
Ranunculus lingua;Langbladet Ranunkel;
Drosera anglica;Langbladet Soldug;
Veronica longifolia;Langbladet Ærenpris;
Corydalis solida;Langstilket Lærkespore;
Pedicularis lapponica;Laplands-Troldurt;
Polemonium acutiflorum;Lappisk Jakobsstige;
Ranunculus repens;Lav Ranunkel;
Scorzonera humilis;Lav Skorsonér;
Parnassia palustris;Leverurt;
Arctium minus;Liden Burre;
Thalictrum minus;Liden Frøstjerne;
Geranium pusillum;Liden Storkenæb;
Centaurium pulchellum;Liden Tusindgylden;
Lamium amplexicaule;Liden Tvetand;
Euphorbia exigua;Liden Vortemælk;
Tripleurospermum maritimum;Lugtløs Kamille;
Stellaria nemorum;Lund Fladstjerne;
Fumaria officinalis;Læge Jordrøg;
Galega officinalis;Læge Stregbælg;
Veronica officinalis;Læge Ærenpris;
Inula helenium;Læge-Alant;
Stachys officinalis;Læge-Betonie;Almindelig Betonie
Anchusa officinalis;Læge-Oksetunge;
Corydalis intermedia;Lærkespore;
Levisticum officinale;Løvstikke;
Epilobium hirsutum;Lådden Dueurt;
Lupinus polyphyllus;Mangebladet Lupin;
Ranunculus polyanthemos;Mangeblomstret Ranunkel;
Chenopodium polyspermum;Mangefrøet Gåsefod;
Leucanthemum vulgare;Margerit;
Melilotus officinalis;Mark Stenkløver;
Veronica arvensis;Mark Ærenpris;
Arenaria serpyllifolia;Markarve;
Artemisia campestris;Markbynke;
Tanacetum parthenium;Matrem;
Epilobium hornemannii;Mos-Dueurt;
Vaccinium uliginosum;Mosebølle;
Malva moschata;Moskus-Katost;
