Juniperus communis;smreka;obična borovica,kleka,smrekva,smrekovica,smrekva crna,kadik,fenja,brinje,brinj,resnica,smrič,smrička,smriška,borovica,brin,smrek,smrekva črna,smrkovina,smrkva,šmrč,šmreka,venja,prava borovica,smrika,smrča,plava kleka
Juniperus oxycedrus;oštroigličasta borovica;primorska šmrika,šmrika,smrić,smrič,smriška,pucalika,smrik,borovica crljena,borovica divlja,borovica morska,bujač,puk,smić,smića,smika,smreka morska,smrekva krvava,smrekva crljena,smriek,smrika,šmrč,šmreka morska,šmrkuljica,šmreka,crvena venja,smriča,crvena kleka,primorska kleka,primorska borovica
Jurinea mollis;meka medoglavka;srpac,vunasta medoglavka,srebrna pilica,medoglavka
Kernera saxatilis;kamenjarska kršika;kriška usikasta,kršika
Kickxia commutata;sredozemna puzaljka;lucenasti klobučac
Kickxia elatine;prava puzaljka;dinjica,dlakavi klobučac
Kickxia spuria;neprava puzaljka;turščak vranski,bodkastolistni klobučac
Knautia arvensis;poljska prženica;metljašica,postenka,šemetljika,udovica,češljasta prženica,obična prženica
Knautia dipsacifolia;jajolistna prženica;šumska prženica
Knautia longifolia;dugolistna prženica;
Bassia laniflora;pješčarska metlica;
Bassia prostrata;polegnuta metlica;
Bassia scoparia;metlasta metlica;
Koeleria glauca;smilica sinja;siva smilica
Koeleria macrantha;nježna smilica;
Laburnum alpinum;planinski zanovijet;negnjil,zanovet mrežasti,planinska zanovijet
Laburnum anagyroides;obični zanovijet;djetelinovo drvo,kopitak gorski,kopitica,utin,žilovina,pucalika,tilovina,zanovet grozdocvjetni,obična zanovijet,zanovijet,negnjil,žuti bagrem
Lactuca perennis;modra salata;
Lactuca quercina;šumska salata;
Lactuca saligna;vrbolika salata;
Lactuca sativa;zelena salata;loćika,loćika pitoma,salata,šalata,obična salata
Lactuca serriola;divlja salata;erdobrad,loćičina,loćika divja,rdobrad
Lactuca viminea;šibasta salata;
Lactuca virosa;divlja salata;
Lagurus ovatus;jajolika baršunka;zečji rep,zečji repić,baršunka
Lamium album;bijela mrtva kopriva;bieli medić
Lamium amplexicaule;obuhvatna mrtva kopriva;ogrlatni medić,mala mrtva kopriva,medić
Lamium galeobdolon;žuta mrtva kopriva;kopriva mrtva,žuta žutošiška
Lamium maculatum;pjegava mrtva kopriva;mrtva kopriva,koprivica mrtva,pčelosis,ljagasti medić
